x_over_H,u_wall
0.100,0.00003
0.150,0.00014
0.200,0.00039
0.250,0.00073
0.300,0.00112
0.350,0.00155
0.400,0.00198
0.450,0.00240
0.500,0.00280
0.550,0.00315
0.600,0.00346
0.650,0.00371
0.700,0.00388
0.750,0.00398
0.800,0.00400
0.850,0.00394
0.900,0.00380
0.950,0.00360
1.000,0.00333
1.050,0.00303
1.100,0.00269
1.150,0.00235
1.200,0.00201
1.250,0.00170
1.300,0.00142
1.350,0.00118
1.400,0.00098
1.450,0.00083
1.500,0.00071
1.550,0.00063
1.600,0.00058
1.650,0.00056
1.700,0.00056
1.750,0.00058
1.800,0.00062
1.850,0.00068
1.900,0.00075
1.950,0.00084
2.000,0.00094
2.050,0.00104
2.100,0.00115
2.150,0.00124
2.200,0.00132
2.250,0.00137
2.300,0.00139
2.350,0.00132
2.400,0.00109
2.450,0.00062
2.500,0.00014
2.550,-0.00102
2.600,-0.00358
2.650,-0.00731
2.700,-0.01173
2.750,-0.01647
2.800,-0.02132
2.850,-0.02610
2.900,-0.03063
2.950,-0.03478
3.000,-0.03849
3.050,-0.04175
3.100,-0.04465
3.150,-0.04721
3.200,-0.04948
3.250,-0.05150
3.300,-0.05332
3.350,-0.05497
3.400,-0.05649
3.450,-0.05792
3.500,-0.05924
3.550,-0.06048
3.600,-0.06164
3.650,-0.06274
3.700,-0.06378
3.750,-0.06477
3.800,-0.06570
3.850,-0.06659
3.900,-0.06744
3.950,-0.06825
4.000,-0.06902
4.050,-0.06974
4.100,-0.07044
4.150,-0.07109
4.200,-0.07170
4.250,-0.07228
4.300,-0.07282
4.350,-0.07332
4.400,-0.07378
4.450,-0.07420
4.500,-0.07457
4.550,-0.07490
4.600,-0.07519
4.650,-0.07543
4.700,-0.07562
4.750,-0.07576
4.800,-0.07587
4.850,-0.07592
4.900,-0.07594
4.950,-0.07593
5.000,-0.07588
5.050,-0.07579
5.100,-0.07566
5.150,-0.07549
5.200,-0.07528
5.250,-0.07503
5.300,-0.07475
5.350,-0.07442
5.400,-0.07407
5.450,-0.07368
5.500,-0.07325
5.550,-0.07280
5.600,-0.07231
5.650,-0.07180
5.700,-0.07126
5.750,-0.07069
5.800,-0.07010
5.850,-0.06949
5.900,-0.06886
5.950,-0.06821
6.000,-0.06753
6.050,-0.06684
6.100,-0.06614
6.150,-0.06542
6.200,-0.06469
6.250,-0.06394
6.300,-0.06318
6.350,-0.06240
6.400,-0.06162
6.450,-0.06082
6.500,-0.06002
6.550,-0.05920
6.600,-0.05838
6.650,-0.05754
6.700,-0.05669
6.750,-0.05584
6.800,-0.05497
6.850,-0.05410
6.900,-0.05321
6.950,-0.05232
7.000,-0.05142
7.050,-0.05052
7.100,-0.04960
7.150,-0.04869
7.200,-0.04776
7.250,-0.04683
7.300,-0.04590
7.350,-0.04496
7.400,-0.04402
7.450,-0.04308
7.500,-0.04214
7.550,-0.04119
7.600,-0.04025
7.650,-0.03932
7.700,-0.03838
7.750,-0.03746
7.800,-0.03653
7.850,-0.03562
7.900,-0.03471
7.950,-0.03381
8.000,-0.03292
8.050,-0.03204
8.100,-0.03118
8.150,-0.03032
8.200,-0.02948
8.250,-0.02866
8.300,-0.02784
8.350,-0.02704
8.400,-0.02626
8.450,-0.02549
8.500,-0.02474
8.550,-0.02400
8.600,-0.02328
8.650,-0.02258
8.700,-0.02189
8.750,-0.02122
8.800,-0.02056
8.850,-0.01992
8.900,-0.01930
8.950,-0.01869
9.000,-0.01810
9.050,-0.01753
9.100,-0.01697
9.150,-0.01643
9.200,-0.01591
9.250,-0.01541
9.300,-0.01493
9.350,-0.01448
9.400,-0.01404
9.450,-0.01363
9.500,-0.01324
9.550,-0.01288
9.600,-0.01255
9.650,-0.01224
9.700,-0.01197
9.750,-0.01172
9.800,-0.01150
9.850,-0.01130
9.900,-0.01112
