y_over_delta,u_over_Ubar,n_cells
-0.9952,0.039366,1200
-0.9851,0.120302,1200
-0.9740,0.206226,1200
-0.9617,0.296813,1200
-0.9481,0.390971,1200
-0.9331,0.486809,1200
-0.9165,0.581474,1200
-0.8983,0.671281,1200
-0.8781,0.752413,1200
-0.8558,0.822266,1200
-0.8313,0.880240,1200
-0.8042,0.927778,1200
-0.7742,0.967111,1200
-0.7412,0.999177,1200
-0.7047,1.025008,1200
-0.6645,1.047018,1200
-0.6201,1.066587,1200
-0.5710,1.085110,1200
-0.5169,1.104256,1200
-0.4571,1.120782,1200
-0.3912,1.135166,1200
-0.3184,1.147776,1200
-0.2380,1.155408,1200
-0.1493,1.162559,1200
-0.0514,1.172767,1200
0.0514,1.175166,1200
0.1493,1.168654,1200
0.2380,1.157206,1200
0.3184,1.142366,1200
0.3912,1.125532,1200
0.4572,1.106203,1200
0.5169,1.083178,1200
0.5711,1.058968,1200
0.6201,1.033523,1200
0.6645,1.006930,1200
0.7048,0.979265,1200
0.7412,0.948655,1200
0.7743,0.915143,1200
0.8042,0.878666,1200
0.8313,0.837594,1200
0.8559,0.789233,1200
0.8781,0.731248,1200
0.8983,0.661929,1200
0.9165,0.581202,1200
0.9331,0.491665,1200
0.9481,0.397582,1200
0.9617,0.303015,1200
0.9740,0.210913,1200
0.9851,0.123086,1200
0.9952,0.040266,1200
