y_over_delta,u_over_Ubar
-0.9688,0.144056
-0.9062,0.511305
-0.8438,0.727101
-0.7812,0.849674
-0.7188,0.930173
-0.6562,0.989232
-0.5938,1.030999
-0.5312,1.055397
-0.4688,1.071070
-0.4062,1.086209
-0.3438,1.100561
-0.2812,1.113778
-0.2188,1.125162
-0.1562,1.132845
-0.0938,1.137402
-0.0312,1.140574
0.0312,1.143490
0.0938,1.145354
0.1562,1.145507
0.2188,1.142242
0.2812,1.133646
0.3438,1.119313
0.4062,1.102236
0.4688,1.081733
0.5312,1.056057
0.5938,1.026566
0.6562,0.991489
0.7188,0.941845
0.7812,0.864756
0.8438,0.737500
0.9062,0.530816
0.9688,0.146662
