y_over_delta,u_over_Ubar
-0.9688,0.074806
-0.9062,0.297545
-0.8438,0.476142
-0.7812,0.631635
-0.7188,0.772772
-0.6562,0.901744
-0.5938,1.018942
-0.5312,1.124415
-0.4688,1.218168
-0.4062,1.300194
-0.3438,1.370496
-0.2812,1.429076
-0.2188,1.475953
-0.1562,1.511078
-0.0938,1.534518
-0.0312,1.546233
0.0312,1.546230
0.0938,1.534510
0.1562,1.511078
0.2188,1.475953
0.2812,1.429076
0.3438,1.370496
0.4062,1.300194
0.4688,1.218168
0.5312,1.124415
0.5938,1.018942
0.6562,0.901744
0.7188,0.772772
0.7812,0.631635
0.8438,0.476144
0.9062,0.297551
0.9688,0.074807
