y_over_delta,u_over_Ubar
-0.9688,0.193081
-0.9062,0.709946
-0.8438,0.841763
-0.7812,0.928585
-0.7188,0.985556
-0.6562,1.028925
-0.5938,1.070333
-0.5312,1.097950
-0.4688,1.118219
-0.4062,1.139129
-0.3438,1.159259
-0.2812,1.173925
-0.2188,1.180503
-0.1562,1.180563
-0.0938,1.178062
-0.0312,1.178661
0.0312,1.180568
0.0938,1.179101
0.1562,1.173879
0.2188,1.161567
0.2812,1.141841
0.3438,1.123502
0.4062,1.117324
0.4688,1.114765
0.5312,1.111127
0.5938,1.106397
0.6562,1.094838
0.7188,1.061739
0.7812,0.997955
0.8438,0.881810
0.9062,0.705595
0.9688,0.194312
