y_plus,u_plus,loglaw
3.0859,1.1937,7.9484
9.2578,4.5475,10.6280
15.4297,5.8235,11.8739
21.6016,6.3154,12.6946
27.7734,6.9197,13.3075
33.9453,8.9775,13.7970
40.1172,10.6191,14.2044
46.2891,11.9739,14.5534
52.4609,13.1212,14.8587
58.6328,14.1116,15.1300
64.8047,14.9797,15.3741
70.9766,15.7505,15.5960
77.1484,15.9607,15.7993
83.3203,16.0820,15.9871
89.4922,16.2015,16.1613
95.6641,16.3181,16.3240
101.8359,16.4314,16.4765
108.0078,16.5410,16.6200
114.1797,16.6469,16.7555
120.3516,16.7491,16.8839
126.5234,16.8476,17.0059
132.6953,16.9426,17.1221
138.8672,17.0340,17.2330
145.0391,17.1221,17.3390
151.2109,17.2069,17.4407
157.3828,17.2886,17.5382
163.5547,17.3673,17.6321
169.7266,17.4431,17.7224
175.8984,17.5161,17.8095
182.0703,17.5864,17.8936
188.2422,17.6541,17.9749
194.4141,17.7193,18.0536
200.5859,17.7820,18.1299
206.7578,17.8424,18.2038
212.9297,17.9005,18.2755
219.1016,17.9564,18.3452
225.2734,18.0102,18.4130
231.4453,18.0619,18.4789
237.6172,18.1118,18.5431
243.7891,18.1597,18.6056
249.9609,18.2057,18.6666
256.1328,18.2500,18.7261
262.3047,18.2923,18.7842
268.4766,18.3328,18.8409
274.6484,18.3714,18.8963
280.8203,18.4082,18.9505
286.9922,18.4430,19.0035
293.1641,18.4759,19.0554
299.3359,18.5069,19.1063
305.5078,18.5361,19.1560
311.6797,18.5632,19.2048
317.8516,18.5885,19.2526
324.0234,18.6118,19.2996
330.1953,18.6333,19.3456
336.3672,18.6528,19.3907
342.5391,18.6705,19.4351
348.7109,18.6862,19.4786
354.8828,18.7001,19.5214
361.0547,18.7120,19.5635
367.2266,18.7221,19.6048
373.3984,18.7302,19.6455
379.5703,18.7363,19.6855
385.7422,18.7405,19.7248
391.9141,18.7426,19.7635
