y_plus,u_plus,loglaw
3.0859,1.2767,7.9484
9.2578,4.9351,10.6280
15.4297,8.4100,11.8739
21.6016,10.8456,12.6946
27.7734,12.2731,13.3075
33.9453,13.2111,13.7970
40.1172,13.8966,14.2044
46.2891,14.4287,14.5534
52.4609,14.8608,14.8587
58.6328,15.2234,15.1300
64.8047,15.5355,15.3741
70.9766,15.8093,15.5960
77.1484,16.0530,15.7993
83.3203,16.2725,15.9871
89.4922,16.4720,16.1613
95.6641,16.6549,16.3240
101.8359,16.8234,16.4765
108.0078,16.9797,16.6200
114.1797,17.1252,16.7555
120.3516,17.2611,16.8839
126.5234,17.3885,17.0059
132.6953,17.5081,17.1221
138.8672,17.6205,17.2330
145.0391,17.7262,17.3390
151.2109,17.8255,17.4407
157.3828,17.9186,17.5382
163.5547,18.0058,17.6321
169.7266,18.0874,17.7224
175.8984,18.1642,17.8095
182.0703,18.2368,17.8936
188.2422,18.3057,17.9749
194.4141,18.3711,18.0536
200.5859,18.4332,18.1299
206.7578,18.4921,18.2038
212.9297,18.5480,18.2755
219.1016,18.6011,18.3452
225.2734,18.6514,18.4130
231.4453,18.6992,18.4789
237.6172,18.7444,18.5431
243.7891,18.7873,18.6056
249.9609,18.8279,18.6666
256.1328,18.8663,18.7261
262.3047,18.9025,18.7842
268.4766,18.9367,18.8409
274.6484,18.9689,18.8963
280.8203,18.9991,18.9505
286.9922,19.0274,19.0035
293.1641,19.0539,19.0554
299.3359,19.0786,19.1063
305.5078,19.1016,19.1560
311.6797,19.1228,19.2048
317.8516,19.1424,19.2526
324.0234,19.1603,19.2996
330.1953,19.1766,19.3456
336.3672,19.1914,19.3907
342.5391,19.2045,19.4351
348.7109,19.2162,19.4786
354.8828,19.2264,19.5214
361.0547,19.2351,19.5635
367.2266,19.2423,19.6048
373.3984,19.2480,19.6455
379.5703,19.2523,19.6855
385.7422,19.2552,19.7248
391.9141,19.2566,19.7635
