theta_deg,Cp
0.0000,-0.694059
2.5000,-0.694541
5.0000,-0.695981
7.5000,-0.698500
10.0000,-0.702634
12.5000,-0.702634
15.0000,-0.707443
17.5000,-0.709412
20.0000,-0.712967
22.5000,-0.712967
25.0000,-0.721917
27.5000,-0.724661
30.0000,-0.724661
32.5000,-0.736012
35.0000,-0.740939
37.5000,-0.748364
40.0000,-0.751416
42.5000,-0.758921
45.0000,-0.763462
47.5000,-0.773262
50.0000,-0.779114
52.5000,-0.792782
55.0000,-0.799456
57.5000,-0.819551
60.0000,-0.847078
62.5000,-0.847078
65.0000,-0.874407
67.5000,-0.899841
70.0000,-0.899841
72.5000,-0.933595
75.0000,-0.961030
77.5000,-0.988166
80.0000,-0.988166
82.5000,-1.009674
85.0000,-1.032963
87.5000,-1.057131
90.0000,-1.057131
92.5000,-1.081268
95.0000,-1.104976
97.5000,-1.119854
100.0000,-1.094800
102.5000,-1.094800
105.0000,-1.027603
107.5000,-1.031757
110.0000,-1.014862
112.5000,-1.014862
115.0000,-0.938388
117.5000,-0.899493
120.0000,-0.899493
122.5000,-0.727035
125.0000,-0.543797
127.5000,-0.422628
130.0000,-0.319977
132.5000,-0.234861
135.0000,-0.157645
137.5000,-0.096303
140.0000,-0.023979
142.5000,0.008651
145.0000,0.124788
147.5000,0.224901
150.0000,0.503648
152.5000,0.503648
155.0000,0.582400
157.5000,0.795185
160.0000,0.795185
162.5000,0.880874
165.0000,0.945102
167.5000,1.024917
170.0000,1.024917
172.5000,1.083983
175.0000,1.116857
177.5000,1.131959
180.0000,1.131959
182.5000,1.132053
185.0000,1.117144
187.5000,1.084471
190.0000,1.025624
192.5000,1.025624
195.0000,0.946037
197.5000,0.882060
200.0000,0.796573
202.5000,0.796573
205.0000,0.584223
207.5000,0.505662
210.0000,0.505662
212.5000,0.227444
215.0000,0.127552
217.5000,0.011667
220.0000,-0.020815
222.5000,-0.092926
225.0000,-0.154063
227.5000,-0.231032
230.0000,-0.315889
232.5000,-0.418204
235.0000,-0.539026
237.5000,-0.721698
240.0000,-0.893467
242.5000,-0.893467
245.0000,-0.931997
247.5000,-1.007898
250.0000,-1.007898
252.5000,-1.024461
255.0000,-1.019861
257.5000,-1.086469
260.0000,-1.086469
262.5000,-1.111080
265.0000,-1.095920
267.5000,-1.071973
270.0000,-1.071973
272.5000,-1.047595
275.0000,-1.023186
277.5000,-0.999647
280.0000,-0.977874
282.5000,-0.977874
285.0000,-0.950558
287.5000,-0.923097
290.0000,-0.889358
292.5000,-0.889358
295.0000,-0.863841
297.5000,-0.836567
300.0000,-0.836567
302.5000,-0.808997
305.0000,-0.788989
307.5000,-0.782280
310.0000,-0.768741
312.5000,-0.762899
315.0000,-0.753247
317.5000,-0.748762
320.0000,-0.741457
322.5000,-0.738526
325.0000,-0.731427
327.5000,-0.726863
330.0000,-0.716480
332.5000,-0.716480
335.0000,-0.714320
337.5000,-0.706564
340.0000,-0.706564
342.5000,-0.703842
345.0000,-0.702889
347.5000,-0.699139
350.0000,-0.699139
352.5000,-0.696065
355.0000,-0.694532
357.5000,-0.694059
