x_over_D,u_over_U
0.600000,-0.027738
0.650000,-0.040655
0.700000,-0.067292
0.750000,-0.080250
0.800000,-0.104441
0.850000,-0.125800
0.900000,-0.135343
0.950000,-0.152058
1.000000,-0.159385
1.050000,-0.172661
1.100000,-0.172661
1.150000,-0.186091
1.200000,-0.186091
1.250000,-0.190818
1.300000,-0.190818
1.350000,-0.186676
1.400000,-0.186676
1.450000,-0.173100
1.500000,-0.173100
1.550000,-0.150365
1.600000,-0.150365
1.650000,-0.119184
1.700000,-0.119184
1.750000,-0.080706
1.800000,-0.080706
1.850000,-0.080706
1.900000,-0.036287
1.950000,-0.036287
2.000000,0.012589
2.050000,0.012589
2.100000,0.064375
2.150000,0.064375
2.200000,0.064375
2.250000,0.117511
2.300000,0.117511
2.350000,0.169199
2.400000,0.170553
2.450000,0.170553
2.500000,0.222458
2.550000,0.222458
2.600000,0.272673
2.650000,0.272673
2.700000,0.272673
2.750000,0.320797
2.800000,0.320797
2.850000,0.366595
2.900000,0.366595
2.950000,0.366595
3.000000,0.409931
3.050000,0.409931
3.100000,0.409931
3.150000,0.450716
3.200000,0.450716
3.250000,0.488570
3.300000,0.488570
3.350000,0.488570
3.400000,0.522743
3.450000,0.522743
3.500000,0.522743
3.550000,0.552648
3.600000,0.552648
3.650000,0.552648
3.700000,0.578501
3.750000,0.578501
3.800000,0.578501
3.850000,0.601087
3.900000,0.601087
3.950000,0.601087
4.000000,0.621187
4.050000,0.621187
4.100000,0.621187
4.150000,0.639444
4.200000,0.639444
4.250000,0.639444
4.300000,0.656357
4.350000,0.656357
4.400000,0.656357
4.450000,0.672196
4.500000,0.672196
4.550000,0.672196
4.600000,0.672196
4.650000,0.686977
4.700000,0.686977
4.750000,0.686977
4.800000,0.700626
4.850000,0.700626
4.900000,0.700626
4.950000,0.713148
5.000000,0.713148
5.050000,0.713148
5.100000,0.713148
5.150000,0.724656
5.200000,0.724656
5.250000,0.724656
5.300000,0.735348
5.350000,0.735348
5.400000,0.735348
5.450000,0.735348
5.500000,0.745411
5.550000,0.745411
5.600000,0.745411
5.650000,0.754816
5.700000,0.754816
5.750000,0.754816
5.800000,0.754816
5.850000,0.763231
5.900000,0.763231
5.950000,0.763231
6.000000,0.763231
6.050000,0.770281
6.100000,0.770281
6.150000,0.770281
6.200000,0.775868
6.250000,0.775868
6.300000,0.775868
6.350000,0.775868
6.400000,0.780218
6.450000,0.780218
6.500000,0.780218
6.550000,0.780218
6.600000,0.783742
6.650000,0.783742
6.700000,0.783742
6.750000,0.783742
6.800000,0.786873
6.850000,0.786873
6.900000,0.786873
6.950000,0.786873
7.000000,0.789924
7.050000,0.789924
7.100000,0.789924
7.150000,0.789924
7.200000,0.793010
7.250000,0.793010
7.300000,0.793010
7.350000,0.793010
7.400000,0.793010
7.450000,0.796098
7.500000,0.796098
7.550000,0.796098
7.600000,0.796098
7.650000,0.799126
7.700000,0.799126
7.750000,0.799126
7.800000,0.799126
7.850000,0.802061
7.900000,0.802061
7.950000,0.802061
8.000000,0.802061
8.050000,0.802061
8.100000,0.804862
8.150000,0.804862
8.200000,0.804862
8.250000,0.804862
8.300000,0.807412
8.350000,0.807412
8.400000,0.807412
8.450000,0.807412
8.500000,0.807412
8.550000,0.809556
8.600000,0.809556
8.650000,0.809556
8.700000,0.809556
8.750000,0.809556
8.800000,0.811187
8.850000,0.811187
8.900000,0.811187
8.950000,0.811187
9.000000,0.812302
9.050000,0.812302
9.100000,0.812302
9.150000,0.812302
9.200000,0.812302
9.250000,0.812996
9.300000,0.812996
9.350000,0.812996
9.400000,0.812996
9.450000,0.812996
9.500000,0.813434
9.550000,0.813434
9.600000,0.813434
9.650000,0.813434
9.700000,0.813434
9.750000,0.813833
9.800000,0.813833
9.850000,0.813833
9.900000,0.813833
9.950000,0.813833
10.000000,0.814405
10.050000,0.814405
10.100000,0.814405
10.150000,0.814405
10.200000,0.814405
10.250000,0.814405
10.300000,0.815268
10.350000,0.815268
10.400000,0.815268
10.450000,0.815268
10.500000,0.815268
10.550000,0.816385
10.600000,0.816385
10.650000,0.816385
10.700000,0.816385
10.750000,0.816385
10.800000,0.817576
10.850000,0.817576
10.900000,0.817576
10.950000,0.817576
11.000000,0.817576
11.050000,0.817576
11.100000,0.818624
11.150000,0.818624
11.200000,0.818624
11.250000,0.818624
11.300000,0.818624
11.350000,0.819386
11.400000,0.819386
11.450000,0.819386
11.500000,0.819386
11.550000,0.819386
11.600000,0.819386
11.650000,0.819832
11.700000,0.819832
11.750000,0.819832
11.800000,0.819832
11.850000,0.819832
11.900000,0.819832
11.950000,0.820020
12.000000,0.820020
12.050000,0.820020
12.100000,0.820020
12.150000,0.820020
12.200000,0.820020
12.250000,0.820058
12.300000,0.820058
12.350000,0.820058
12.400000,0.820058
12.450000,0.820058
12.500000,0.820058
12.550000,0.820092
12.600000,0.820092
12.650000,0.820092
12.700000,0.820092
12.750000,0.820092
12.800000,0.820092
12.850000,0.820294
12.900000,0.820294
12.950000,0.820294
13.000000,0.820294
13.050000,0.820294
13.100000,0.820294
13.150000,0.820761
13.200000,0.820761
13.250000,0.820761
13.300000,0.820761
13.350000,0.820761
13.400000,0.820761
13.450000,0.821401
13.500000,0.821401
13.550000,0.821401
13.600000,0.821401
13.650000,0.821401
13.700000,0.821401
13.750000,0.821401
13.800000,0.821980
13.850000,0.821980
13.900000,0.821980
13.950000,0.821980
14.000000,0.821980
