y_over_D,u_over_U
-3.000000,1.044919
-2.950000,1.044919
-2.900000,1.044489
-2.850000,1.044489
-2.800000,1.044489
-2.750000,1.044489
-2.700000,1.043846
-2.650000,1.043846
-2.600000,1.043846
-2.550000,1.043846
-2.500000,1.043005
-2.450000,1.043005
-2.400000,1.043005
-2.350000,1.043005
-2.300000,1.042004
-2.250000,1.042004
-2.200000,1.042004
-2.150000,1.040851
-2.100000,1.040851
-2.050000,1.040851
-2.000000,1.040851
-1.950000,1.038935
-1.900000,1.038935
-1.850000,1.038935
-1.800000,1.033667
-1.750000,1.033667
-1.700000,1.020539
-1.650000,1.020539
-1.600000,1.020539
-1.550000,0.997101
-1.500000,0.997101
-1.450000,0.997101
-1.400000,0.966684
-1.350000,0.966684
-1.300000,0.935454
-1.250000,0.935454
-1.200000,0.906989
-1.150000,0.906989
-1.100000,0.881649
-1.050000,0.881649
-1.000000,0.866214
-0.950000,0.858818
-0.900000,0.844199
-0.850000,0.836975
-0.800000,0.822707
-0.750000,0.815676
-0.700000,0.801883
-0.650000,0.788548
-0.600000,0.782097
-0.550000,0.769725
-0.500000,0.763844
-0.450000,0.752795
-0.400000,0.742830
-0.350000,0.738302
-0.300000,0.730245
-0.250000,0.726748
-0.200000,0.720890
-0.150000,0.716626
-0.100000,0.715116
-0.050000,0.713374
0.000000,0.713148
0.050000,0.713996
0.100000,0.716561
0.150000,0.718476
0.200000,0.723531
0.250000,0.726650
0.300000,0.734008
0.350000,0.742760
0.400000,0.747617
0.450000,0.758198
0.500000,0.763883
0.550000,0.775940
0.600000,0.788775
0.650000,0.795433
0.700000,0.809130
0.750000,0.816132
0.800000,0.830364
0.850000,0.844814
0.900000,0.852099
0.950000,0.866779
1.000000,0.874164
1.050000,0.889495
1.100000,0.889495
1.150000,0.914358
1.200000,0.914358
1.250000,0.941750
1.300000,0.941750
1.350000,0.971056
1.400000,0.971056
1.450000,0.998859
1.500000,0.998859
1.550000,0.998859
1.600000,1.019824
1.650000,1.019824
1.700000,1.019824
1.750000,1.031485
1.800000,1.031485
1.850000,1.036355
1.900000,1.036355
1.950000,1.036355
2.000000,1.038412
2.050000,1.038412
2.100000,1.038412
2.150000,1.038412
2.200000,1.039827
2.250000,1.039827
2.300000,1.039827
2.350000,1.041088
2.400000,1.041088
2.450000,1.041088
2.500000,1.041088
2.550000,1.042178
2.600000,1.042178
2.650000,1.042178
2.700000,1.042178
2.750000,1.043057
2.800000,1.043057
2.850000,1.043057
2.900000,1.043057
2.950000,1.043708
3.000000,1.043708
