theta_deg,Cp
0.0000,-0.576020
2.5000,-0.576444
5.0000,-0.577410
7.5000,-0.579022
10.0000,-0.581005
12.5000,-0.583412
15.0000,-0.586456
17.5000,-0.589883
20.0000,-0.593360
22.5000,-0.596668
25.0000,-0.600595
27.5000,-0.604793
30.0000,-0.608858
32.5000,-0.613539
35.0000,-0.618699
37.5000,-0.624115
40.0000,-0.630410
42.5000,-0.637392
45.0000,-0.645498
47.5000,-0.654604
50.0000,-0.664983
52.5000,-0.676843
55.0000,-0.689642
57.5000,-0.704756
60.0000,-0.720462
62.5000,-0.738695
65.0000,-0.758317
67.5000,-0.778406
70.0000,-0.801089
72.5000,-0.824589
75.0000,-0.848107
77.5000,-0.871452
80.0000,-0.895365
82.5000,-0.918885
85.0000,-0.941629
87.5000,-0.960654
90.0000,-0.976447
92.5000,-0.989524
95.0000,-1.000159
97.5000,-1.007878
100.0000,-1.010473
102.5000,-1.005182
105.0000,-0.979884
107.5000,-0.940189
110.0000,-0.900748
112.5000,-0.867359
115.0000,-0.805228
117.5000,-0.731843
120.0000,-0.666409
122.5000,-0.580300
125.0000,-0.486343
127.5000,-0.396252
130.0000,-0.288658
132.5000,-0.188003
135.0000,-0.073523
137.5000,0.034089
140.0000,0.150590
142.5000,0.262807
145.0000,0.375541
147.5000,0.487501
150.0000,0.597836
152.5000,0.699645
155.0000,0.798279
157.5000,0.893939
160.0000,0.976251
162.5000,1.053200
165.0000,1.123581
167.5000,1.183725
170.0000,1.231591
172.5000,1.269619
175.0000,1.298488
177.5000,1.313609
180.0000,1.318519
182.5000,1.313755
185.0000,1.298770
187.5000,1.270044
190.0000,1.232159
192.5000,1.184443
195.0000,1.124479
197.5000,1.054235
200.0000,0.977421
202.5000,0.895251
205.0000,0.799735
207.5000,0.701231
210.0000,0.599552
212.5000,0.489340
215.0000,0.377503
217.5000,0.264895
220.0000,0.152765
222.5000,0.036352
225.0000,-0.071213
227.5000,-0.185638
230.0000,-0.286240
232.5000,-0.393756
235.0000,-0.483761
237.5000,-0.577616
240.0000,-0.663621
242.5000,-0.729004
245.0000,-0.802335
247.5000,-0.864439
250.0000,-0.897849
252.5000,-0.937309
255.0000,-0.977026
257.5000,-1.002363
260.0000,-1.007724
262.5000,-1.005212
265.0000,-0.997585
267.5000,-0.987052
270.0000,-0.974081
272.5000,-0.958398
275.0000,-0.939490
277.5000,-0.916864
280.0000,-0.893466
282.5000,-0.869676
285.0000,-0.846453
287.5000,-0.823056
290.0000,-0.799668
292.5000,-0.777088
295.0000,-0.757096
297.5000,-0.737571
300.0000,-0.719422
302.5000,-0.703785
305.0000,-0.688728
307.5000,-0.675964
310.0000,-0.664122
312.5000,-0.653732
315.0000,-0.644582
317.5000,-0.636409
320.0000,-0.629333
322.5000,-0.622922
325.0000,-0.617386
327.5000,-0.612095
330.0000,-0.607297
332.5000,-0.603122
335.0000,-0.598856
337.5000,-0.594890
340.0000,-0.591582
342.5000,-0.588175
345.0000,-0.584882
347.5000,-0.582030
350.0000,-0.579829
352.5000,-0.578081
355.0000,-0.576741
357.5000,-0.576106
