x_over_D,u_over_U
0.600000,-0.022505
0.650000,-0.042183
0.700000,-0.062535
0.750000,-0.081902
0.800000,-0.099786
0.850000,-0.115772
0.900000,-0.129977
0.950000,-0.142445
1.000000,-0.153106
1.050000,-0.162198
1.100000,-0.169550
1.150000,-0.175301
1.200000,-0.179458
1.250000,-0.181896
1.300000,-0.182816
1.350000,-0.182055
1.400000,-0.179779
1.450000,-0.176038
1.500000,-0.170796
1.550000,-0.164302
1.600000,-0.156498
1.650000,-0.147592
1.700000,-0.137682
1.750000,-0.126812
1.800000,-0.115192
1.850000,-0.102839
1.900000,-0.089917
1.950000,-0.076513
2.000000,-0.062694
2.050000,-0.048588
2.100000,-0.034243
2.150000,-0.019754
2.200000,-0.005184
2.250000,0.009401
2.300000,0.023950
2.350000,0.038405
2.400000,0.052725
2.450000,0.066877
2.500000,0.080818
2.550000,0.094544
2.600000,0.108002
2.650000,0.121196
2.700000,0.134114
2.750000,0.146723
2.800000,0.159054
2.850000,0.171069
2.900000,0.182792
2.950000,0.194226
3.000000,0.205347
3.050000,0.216197
3.100000,0.226747
3.150000,0.237032
3.200000,0.247057
3.250000,0.256810
3.300000,0.266329
3.350000,0.275594
3.400000,0.284631
3.450000,0.293446
3.500000,0.302031
3.550000,0.310420
3.600000,0.318585
3.650000,0.326551
3.700000,0.334325
3.750000,0.341895
3.800000,0.349289
3.850000,0.356489
3.900000,0.363510
3.950000,0.370356
4.000000,0.377013
4.050000,0.383506
4.100000,0.389814
4.150000,0.395950
4.200000,0.401919
4.250000,0.407707
4.300000,0.413338
4.350000,0.418793
4.400000,0.424092
4.450000,0.429234
4.500000,0.434219
4.550000,0.439067
4.600000,0.443772
4.650000,0.448355
4.700000,0.452827
4.750000,0.457191
4.800000,0.461467
4.850000,0.465661
4.900000,0.469791
4.950000,0.473875
5.000000,0.477941
5.050000,0.481994
5.100000,0.486041
5.150000,0.490089
5.200000,0.494151
5.250000,0.498258
5.300000,0.502407
5.350000,0.506597
5.400000,0.510833
5.450000,0.515129
5.500000,0.519494
5.550000,0.523911
5.600000,0.528379
5.650000,0.532890
5.700000,0.537436
5.750000,0.542011
5.800000,0.546597
5.850000,0.551189
5.900000,0.555766
5.950000,0.560323
6.000000,0.564832
6.050000,0.569292
6.100000,0.573678
6.150000,0.577978
6.200000,0.582178
6.250000,0.586256
6.300000,0.590211
6.350000,0.594015
6.400000,0.597664
6.450000,0.601148
6.500000,0.604445
6.550000,0.607565
6.600000,0.610477
6.650000,0.613193
6.700000,0.615706
6.750000,0.618002
6.800000,0.620103
6.850000,0.621989
6.900000,0.623678
6.950000,0.625184
7.000000,0.626499
7.050000,0.627659
7.100000,0.628660
7.150000,0.629535
7.200000,0.630305
7.250000,0.630991
7.300000,0.631621
7.350000,0.632226
7.400000,0.632830
7.450000,0.633460
7.500000,0.634154
7.550000,0.634927
7.600000,0.635813
7.650000,0.636827
7.700000,0.637986
7.750000,0.639317
7.800000,0.640821
7.850000,0.642504
7.900000,0.644366
7.950000,0.646400
8.000000,0.648617
8.050000,0.650997
8.100000,0.653550
8.150000,0.656245
8.200000,0.659068
8.250000,0.662009
8.300000,0.665041
8.350000,0.668154
8.400000,0.671326
8.450000,0.674535
8.500000,0.677769
8.550000,0.681007
8.600000,0.684230
8.650000,0.687421
8.700000,0.690566
8.750000,0.693644
8.800000,0.696651
8.850000,0.699565
8.900000,0.702378
8.950000,0.705081
9.000000,0.707657
9.050000,0.710111
9.100000,0.712420
9.150000,0.714590
9.200000,0.716616
9.250000,0.718485
9.300000,0.720211
9.350000,0.721774
9.400000,0.723188
9.450000,0.724452
9.500000,0.725566
9.550000,0.726544
9.600000,0.727380
9.650000,0.728095
9.700000,0.728695
9.750000,0.729182
9.800000,0.729585
9.850000,0.729914
9.900000,0.730188
9.950000,0.730426
10.000000,0.730654
10.050000,0.730887
10.100000,0.731164
10.150000,0.731504
10.200000,0.731935
10.250000,0.732490
10.300000,0.733186
10.350000,0.734066
10.400000,0.735145
10.450000,0.736447
10.500000,0.738017
10.550000,0.739849
10.600000,0.741990
10.650000,0.744440
10.700000,0.747214
10.750000,0.750355
10.800000,0.753836
10.850000,0.757708
10.900000,0.761952
10.950000,0.766579
11.000000,0.771632
