y_over_D,u_over_U
-3.000000,1.066127
-2.950000,1.066481
-2.900000,1.066838
-2.850000,1.067183
-2.800000,1.067507
-2.750000,1.067788
-2.700000,1.068014
-2.650000,1.068149
-2.600000,1.068175
-2.550000,1.068064
-2.500000,1.067783
-2.450000,1.067336
-2.400000,1.066703
-2.350000,1.065908
-2.300000,1.064980
-2.250000,1.063939
-2.200000,1.062845
-2.150000,1.061723
-2.100000,1.060605
-2.050000,1.059504
-2.000000,1.058420
-1.950000,1.057326
-1.900000,1.056194
-1.850000,1.054986
-1.800000,1.053653
-1.750000,1.052142
-1.700000,1.050422
-1.650000,1.048435
-1.600000,1.046137
-1.550000,1.043506
-1.500000,1.040457
-1.450000,1.036989
-1.400000,1.033018
-1.350000,1.028527
-1.300000,1.023484
-1.250000,1.017809
-1.200000,1.011544
-1.150000,1.004583
-1.100000,0.996967
-1.050000,0.988690
-1.000000,0.979694
-0.950000,0.970066
-0.900000,0.959740
-0.850000,0.948794
-0.800000,0.937255
-0.750000,0.925123
-0.700000,0.912503
-0.650000,0.899397
-0.600000,0.885901
-0.550000,0.872078
-0.500000,0.857981
-0.450000,0.843721
-0.400000,0.829372
-0.350000,0.815054
-0.300000,0.800884
-0.250000,0.787057
-0.200000,0.773713
-0.150000,0.761152
-0.100000,0.749588
-0.050000,0.739277
0.000000,0.730654
0.050000,0.723785
0.100000,0.719164
0.150000,0.716831
0.200000,0.716911
0.250000,0.719673
0.300000,0.724798
0.350000,0.732530
0.400000,0.742528
0.450000,0.754627
0.500000,0.768751
0.550000,0.784448
0.600000,0.801654
0.650000,0.819972
0.700000,0.839155
0.750000,0.858962
0.800000,0.879052
0.850000,0.899159
0.900000,0.918975
0.950000,0.938238
1.000000,0.956591
1.050000,0.973906
1.100000,0.989836
1.150000,1.004320
1.200000,1.017269
1.250000,1.028519
1.300000,1.038273
1.350000,1.046425
1.400000,1.053193
1.450000,1.058710
1.500000,1.063034
1.550000,1.066433
1.600000,1.068963
1.650000,1.070819
1.700000,1.072131
1.750000,1.072976
1.800000,1.073521
1.850000,1.073821
1.900000,1.073979
1.950000,1.074065
2.000000,1.074143
2.050000,1.074248
2.100000,1.074413
2.150000,1.074634
2.200000,1.074905
2.250000,1.075193
2.300000,1.075464
2.350000,1.075672
2.400000,1.075781
2.450000,1.075774
2.500000,1.075620
2.550000,1.075331
2.600000,1.074908
2.650000,1.074389
2.700000,1.073784
2.750000,1.073125
2.800000,1.072432
2.850000,1.071730
2.900000,1.071028
2.950000,1.070342
3.000000,1.069678
