theta_deg,Cp
0.0000,-0.507953
2.5000,-0.508366
5.0000,-0.509363
7.5000,-0.510866
10.0000,-0.512934
12.5000,-0.515767
15.0000,-0.519135
17.5000,-0.522337
20.0000,-0.525859
22.5000,-0.530177
25.0000,-0.533979
27.5000,-0.538627
30.0000,-0.542901
32.5000,-0.547963
35.0000,-0.553051
37.5000,-0.558704
40.0000,-0.564935
42.5000,-0.571894
45.0000,-0.579870
47.5000,-0.588949
50.0000,-0.599047
52.5000,-0.610429
55.0000,-0.623355
57.5000,-0.637379
60.0000,-0.653509
62.5000,-0.670886
65.0000,-0.690152
67.5000,-0.710766
70.0000,-0.732883
72.5000,-0.755860
75.0000,-0.780605
77.5000,-0.804609
80.0000,-0.827775
82.5000,-0.851696
85.0000,-0.874993
87.5000,-0.895901
90.0000,-0.913442
92.5000,-0.927733
95.0000,-0.939763
97.5000,-0.949527
100.0000,-0.952075
102.5000,-0.938262
105.0000,-0.912998
107.5000,-0.893472
110.0000,-0.863348
112.5000,-0.810271
115.0000,-0.765413
117.5000,-0.696293
120.0000,-0.631822
122.5000,-0.548125
125.0000,-0.464401
127.5000,-0.369086
130.0000,-0.270269
132.5000,-0.167318
135.0000,-0.057687
137.5000,0.054768
140.0000,0.167996
142.5000,0.280961
145.0000,0.392746
147.5000,0.503032
150.0000,0.614113
152.5000,0.715169
155.0000,0.817958
157.5000,0.907401
160.0000,0.996821
162.5000,1.073378
165.0000,1.140108
167.5000,1.202080
170.0000,1.253263
172.5000,1.291153
175.0000,1.317875
177.5000,1.334352
180.0000,1.340008
182.5000,1.334401
185.0000,1.317976
187.5000,1.291296
190.0000,1.253458
192.5000,1.202323
195.0000,1.140417
197.5000,1.073746
200.0000,0.997247
202.5000,0.907879
205.0000,0.818500
207.5000,0.715765
210.0000,0.614765
212.5000,0.503754
215.0000,0.393525
217.5000,0.281807
220.0000,0.168910
222.5000,0.055755
225.0000,-0.056623
227.5000,-0.166173
230.0000,-0.269036
232.5000,-0.367750
235.0000,-0.462953
237.5000,-0.546594
240.0000,-0.630230
242.5000,-0.694665
245.0000,-0.763733
247.5000,-0.808538
250.0000,-0.861543
252.5000,-0.891605
255.0000,-0.911071
257.5000,-0.936262
260.0000,-0.950013
262.5000,-0.947414
265.0000,-0.937609
267.5000,-0.925538
270.0000,-0.911209
272.5000,-0.893637
275.0000,-0.872705
277.5000,-0.849390
280.0000,-0.825456
282.5000,-0.802277
285.0000,-0.778275
287.5000,-0.753536
290.0000,-0.730571
292.5000,-0.708461
295.0000,-0.687864
297.5000,-0.668612
300.0000,-0.651253
302.5000,-0.635138
305.0000,-0.621131
307.5000,-0.608220
310.0000,-0.596853
312.5000,-0.586768
315.0000,-0.577704
317.5000,-0.569750
320.0000,-0.562822
322.5000,-0.556630
325.0000,-0.551028
327.5000,-0.546001
330.0000,-0.541019
332.5000,-0.536833
335.0000,-0.532297
337.5000,-0.528611
340.0000,-0.524438
342.5000,-0.521061
345.0000,-0.518015
347.5000,-0.514827
350.0000,-0.512177
352.5000,-0.510292
355.0000,-0.508973
357.5000,-0.508168
