x_over_D,u_over_U
0.600000,-0.021879
0.650000,-0.040145
0.700000,-0.058614
0.750000,-0.076027
0.800000,-0.091990
0.850000,-0.106334
0.900000,-0.119173
0.950000,-0.130614
1.000000,-0.140727
1.050000,-0.149677
1.100000,-0.157482
1.150000,-0.164241
1.200000,-0.170001
1.250000,-0.174764
1.300000,-0.178612
1.350000,-0.181529
1.400000,-0.183573
1.450000,-0.184776
1.500000,-0.185146
1.550000,-0.184763
1.600000,-0.183626
1.650000,-0.181806
1.700000,-0.179349
1.750000,-0.176280
1.800000,-0.172676
1.850000,-0.168558
1.900000,-0.163987
1.950000,-0.159009
2.000000,-0.153651
2.050000,-0.147975
2.100000,-0.142001
2.150000,-0.135776
2.200000,-0.129332
2.250000,-0.122694
2.300000,-0.115900
2.350000,-0.108970
2.400000,-0.101933
2.450000,-0.094814
2.500000,-0.087632
2.550000,-0.080412
2.600000,-0.073169
2.650000,-0.065922
2.700000,-0.058685
2.750000,-0.051473
2.800000,-0.044295
2.850000,-0.037161
2.900000,-0.030076
2.950000,-0.023048
3.000000,-0.016081
3.050000,-0.009178
3.100000,-0.002342
3.150000,0.004428
3.200000,0.011131
3.250000,0.017764
3.300000,0.024332
3.350000,0.030832
3.400000,0.037269
3.450000,0.043644
3.500000,0.049957
3.550000,0.056214
3.600000,0.062414
3.650000,0.068562
3.700000,0.074661
3.750000,0.080711
3.800000,0.086718
3.850000,0.092681
3.900000,0.098604
3.950000,0.104489
4.000000,0.110337
4.050000,0.116151
4.100000,0.121932
4.150000,0.127682
4.200000,0.133401
4.250000,0.139090
4.300000,0.144752
4.350000,0.150387
4.400000,0.155996
4.450000,0.161580
4.500000,0.167138
4.550000,0.172674
4.600000,0.178186
4.650000,0.183674
4.700000,0.189138
4.750000,0.194578
4.800000,0.199992
4.850000,0.205378
4.900000,0.210737
4.950000,0.216065
5.000000,0.221362
5.050000,0.226627
5.100000,0.231857
5.150000,0.237054
5.200000,0.242214
5.250000,0.247338
5.300000,0.252426
5.350000,0.257475
5.400000,0.262486
5.450000,0.267459
5.500000,0.272393
5.550000,0.277288
5.600000,0.282145
5.650000,0.286963
5.700000,0.291744
5.750000,0.296486
5.800000,0.301191
5.850000,0.305858
5.900000,0.310488
5.950000,0.315084
6.000000,0.319641
6.050000,0.324165
6.100000,0.328652
6.150000,0.333106
6.200000,0.337524
6.250000,0.341908
6.300000,0.346258
6.350000,0.350573
6.400000,0.354855
6.450000,0.359103
6.500000,0.363317
6.550000,0.367500
6.600000,0.371647
6.650000,0.375764
6.700000,0.379849
6.750000,0.383900
6.800000,0.387919
6.850000,0.391907
6.900000,0.395863
6.950000,0.399788
7.000000,0.403681
7.050000,0.407544
7.100000,0.411375
7.150000,0.415174
7.200000,0.418942
7.250000,0.422678
7.300000,0.426383
7.350000,0.430053
7.400000,0.433692
7.450000,0.437300
7.500000,0.440873
7.550000,0.444415
7.600000,0.447923
7.650000,0.451399
7.700000,0.454842
7.750000,0.458251
7.800000,0.461628
7.850000,0.464973
7.900000,0.468285
7.950000,0.471566
8.000000,0.474813
8.050000,0.478031
8.100000,0.481217
8.150000,0.484374
8.200000,0.487504
8.250000,0.490605
8.300000,0.493680
8.350000,0.496728
8.400000,0.499754
8.450000,0.502758
8.500000,0.505743
8.550000,0.508706
8.600000,0.511655
8.650000,0.514588
8.700000,0.517508
8.750000,0.520416
8.800000,0.523314
8.850000,0.526206
8.900000,0.529093
8.950000,0.531976
9.000000,0.534859
9.050000,0.537744
9.100000,0.540631
9.150000,0.543526
9.200000,0.546432
9.250000,0.549347
9.300000,0.552278
9.350000,0.555226
9.400000,0.558195
9.450000,0.561186
9.500000,0.564204
9.550000,0.567251
9.600000,0.570332
9.650000,0.573453
9.700000,0.576611
9.750000,0.579813
9.800000,0.583064
9.850000,0.586367
9.900000,0.589728
9.950000,0.593148
10.000000,0.596638
10.050000,0.600195
10.100000,0.603833
10.150000,0.607551
10.200000,0.611360
10.250000,0.615265
10.300000,0.619271
10.350000,0.623390
10.400000,0.627625
10.450000,0.631988
10.500000,0.636492
10.550000,0.641139
10.600000,0.645950
10.650000,0.650930
10.700000,0.656096
10.750000,0.661467
10.800000,0.667048
10.850000,0.672875
10.900000,0.678955
10.950000,0.685315
11.000000,0.691985
