y_over_D,u_over_U
-3.000000,1.196718
-2.950000,1.197703
-2.900000,1.198733
-2.850000,1.199798
-2.800000,1.200926
-2.750000,1.202113
-2.700000,1.203345
-2.650000,1.204639
-2.600000,1.205985
-2.550000,1.207377
-2.500000,1.208857
-2.450000,1.210372
-2.400000,1.211964
-2.350000,1.213603
-2.300000,1.215303
-2.250000,1.217068
-2.200000,1.218884
-2.150000,1.220767
-2.100000,1.222718
-2.050000,1.224725
-2.000000,1.226805
-1.950000,1.228942
-1.900000,1.231150
-1.850000,1.233412
-1.800000,1.235742
-1.750000,1.238139
-1.700000,1.240579
-1.650000,1.243105
-1.600000,1.245677
-1.550000,1.248272
-1.500000,1.250852
-1.450000,1.253312
-1.400000,1.255449
-1.350000,1.256913
-1.300000,1.257089
-1.250000,1.254896
-1.200000,1.249030
-1.150000,1.237263
-1.100000,1.217419
-1.050000,1.187065
-1.000000,1.143658
-0.950000,1.086664
-0.900000,1.015559
-0.850000,0.932505
-0.800000,0.840422
-0.750000,0.742799
-0.700000,0.643477
-0.650000,0.545484
-0.600000,0.450962
-0.550000,0.361281
-0.500000,0.277491
-0.450000,0.199827
-0.400000,0.129047
-0.350000,0.065288
-0.300000,0.008908
-0.250000,-0.039468
-0.200000,-0.079907
-0.150000,-0.111652
-0.100000,-0.134713
-0.050000,-0.148868
0.000000,-0.153651
0.050000,-0.149486
0.100000,-0.135939
0.150000,-0.113463
0.200000,-0.082266
0.250000,-0.042323
0.300000,0.005621
0.350000,0.061650
0.400000,0.125139
0.450000,0.195730
0.500000,0.273274
0.550000,0.357001
0.600000,0.446669
0.650000,0.541223
0.700000,0.639303
0.750000,0.738784
0.800000,0.836644
0.850000,0.929047
0.900000,1.012478
0.950000,1.083994
1.000000,1.141391
1.050000,1.185183
1.100000,1.215859
1.150000,1.235979
1.200000,1.247959
1.250000,1.253981
1.300000,1.256300
1.350000,1.256227
1.400000,1.254853
1.450000,1.252803
1.500000,1.250414
1.550000,1.247895
1.600000,1.245355
1.650000,1.242831
1.700000,1.240359
1.750000,1.237937
1.800000,1.235564
1.850000,1.233259
1.900000,1.231017
1.950000,1.228837
2.000000,1.226722
2.050000,1.224660
2.100000,1.222666
2.150000,1.220731
2.200000,1.218854
2.250000,1.217043
2.300000,1.215290
2.350000,1.213609
2.400000,1.211967
2.450000,1.210406
2.500000,1.208882
2.550000,1.207434
2.600000,1.206029
2.650000,1.204675
2.700000,1.203385
2.750000,1.202144
2.800000,1.200963
2.850000,1.199840
2.900000,1.198763
2.950000,1.197746
3.000000,1.196774
