theta_deg,Cp
0.0000,-0.565318
2.5000,-0.565724
5.0000,-0.566699
7.5000,-0.568469
10.0000,-0.570687
12.5000,-0.573357
15.0000,-0.576347
17.5000,-0.579502
20.0000,-0.582976
22.5000,-0.586757
25.0000,-0.590622
27.5000,-0.594754
30.0000,-0.599120
32.5000,-0.603702
35.0000,-0.608845
37.5000,-0.614212
40.0000,-0.620705
42.5000,-0.627493
45.0000,-0.635868
47.5000,-0.644558
50.0000,-0.655454
52.5000,-0.666879
55.0000,-0.680346
57.5000,-0.695173
60.0000,-0.710977
62.5000,-0.729972
65.0000,-0.749186
67.5000,-0.770318
70.0000,-0.794280
72.5000,-0.817920
75.0000,-0.841545
77.5000,-0.867194
80.0000,-0.893229
82.5000,-0.918152
85.0000,-0.941825
87.5000,-0.961930
90.0000,-0.978725
92.5000,-0.992008
95.0000,-1.001057
97.5000,-1.001461
100.0000,-0.995317
102.5000,-0.982424
105.0000,-0.960779
107.5000,-0.928836
110.0000,-0.889395
112.5000,-0.842887
115.0000,-0.784264
117.5000,-0.716101
120.0000,-0.643392
122.5000,-0.560404
125.0000,-0.469479
127.5000,-0.377901
130.0000,-0.272766
132.5000,-0.171243
135.0000,-0.058174
137.5000,0.049421
140.0000,0.166319
142.5000,0.277142
145.0000,0.391473
147.5000,0.501822
150.0000,0.607813
152.5000,0.712821
155.0000,0.809611
157.5000,0.903276
160.0000,0.988919
162.5000,1.064759
165.0000,1.132273
167.5000,1.192390
170.0000,1.242361
172.5000,1.282319
175.0000,1.312657
177.5000,1.328050
180.0000,1.333000
182.5000,1.328125
185.0000,1.312809
187.5000,1.282543
190.0000,1.242666
192.5000,1.192781
195.0000,1.132740
197.5000,1.065315
200.0000,0.989562
202.5000,0.904004
205.0000,0.810429
207.5000,0.713737
210.0000,0.608842
212.5000,0.502970
215.0000,0.392714
217.5000,0.278402
220.0000,0.167607
222.5000,0.050902
225.0000,-0.056510
227.5000,-0.169518
230.0000,-0.270988
232.5000,-0.376060
235.0000,-0.467569
237.5000,-0.558410
240.0000,-0.641313
242.5000,-0.713895
245.0000,-0.781924
247.5000,-0.840416
250.0000,-0.886821
252.5000,-0.926171
255.0000,-0.958036
257.5000,-0.979630
260.0000,-0.992480
262.5000,-0.998585
265.0000,-0.998149
267.5000,-0.989074
270.0000,-0.975775
272.5000,-0.958971
275.0000,-0.938863
277.5000,-0.915197
280.0000,-0.890287
282.5000,-0.864271
285.0000,-0.838645
287.5000,-0.815045
290.0000,-0.791433
292.5000,-0.767503
295.0000,-0.746401
297.5000,-0.727215
300.0000,-0.708247
302.5000,-0.692467
305.0000,-0.677658
307.5000,-0.664206
310.0000,-0.652787
312.5000,-0.641894
315.0000,-0.633204
317.5000,-0.624833
320.0000,-0.618047
322.5000,-0.611571
325.0000,-0.606223
327.5000,-0.601128
330.0000,-0.596606
332.5000,-0.592327
335.0000,-0.588310
337.5000,-0.584573
340.0000,-0.580956
342.5000,-0.577673
345.0000,-0.574732
347.5000,-0.571980
350.0000,-0.569564
352.5000,-0.567611
355.0000,-0.566116
357.5000,-0.565432
