x_over_D,u_over_U
0.600000,-0.021242
0.650000,-0.039886
0.700000,-0.059399
0.750000,-0.078117
0.800000,-0.095503
0.850000,-0.111139
0.900000,-0.125117
0.950000,-0.137476
1.000000,-0.148147
1.050000,-0.157360
1.100000,-0.164958
1.150000,-0.171067
1.200000,-0.175693
1.250000,-0.178716
1.300000,-0.180317
1.350000,-0.180329
1.400000,-0.178899
1.450000,-0.176064
1.500000,-0.171776
1.550000,-0.166261
1.600000,-0.159454
1.650000,-0.151546
1.700000,-0.142626
1.750000,-0.132726
1.800000,-0.122051
1.850000,-0.110613
1.900000,-0.098570
1.950000,-0.086009
2.000000,-0.072992
2.050000,-0.059648
2.100000,-0.046021
2.150000,-0.032210
2.200000,-0.018276
2.250000,-0.004281
2.300000,0.009714
2.350000,0.023658
2.400000,0.037506
2.450000,0.051222
2.500000,0.064755
2.550000,0.078101
2.600000,0.091206
2.650000,0.104069
2.700000,0.116674
2.750000,0.128988
2.800000,0.141034
2.850000,0.152772
2.900000,0.164223
2.950000,0.175385
3.000000,0.186237
3.050000,0.196817
3.100000,0.207095
3.150000,0.217099
3.200000,0.226838
3.250000,0.236296
3.300000,0.245512
3.350000,0.254465
3.400000,0.263182
3.450000,0.271671
3.500000,0.279921
3.550000,0.287967
3.600000,0.295792
3.650000,0.303419
3.700000,0.310856
3.750000,0.318095
3.800000,0.325164
3.850000,0.332048
3.900000,0.338770
3.950000,0.345332
4.000000,0.351730
4.050000,0.357986
4.100000,0.364091
4.150000,0.370062
4.200000,0.375903
4.250000,0.381608
4.300000,0.387202
4.350000,0.392673
4.400000,0.398038
4.450000,0.403303
4.500000,0.408466
4.550000,0.413544
4.600000,0.418530
4.650000,0.423445
4.700000,0.428301
4.750000,0.433092
4.800000,0.437831
4.850000,0.442518
4.900000,0.447158
4.950000,0.451750
5.000000,0.456298
5.050000,0.460813
5.100000,0.465292
5.150000,0.469740
5.200000,0.474157
5.250000,0.478542
5.300000,0.482889
5.350000,0.487192
5.400000,0.491455
5.450000,0.495674
5.500000,0.499842
5.550000,0.503960
5.600000,0.508015
5.650000,0.512009
5.700000,0.515936
5.750000,0.519784
5.800000,0.523559
5.850000,0.527245
5.900000,0.530846
5.950000,0.534357
6.000000,0.537768
6.050000,0.541088
6.100000,0.544302
6.150000,0.547419
6.200000,0.550437
6.250000,0.553349
6.300000,0.556168
6.350000,0.558886
6.400000,0.561514
6.450000,0.564058
6.500000,0.566515
6.550000,0.568904
6.600000,0.571219
6.650000,0.573477
6.700000,0.575686
6.750000,0.577854
6.800000,0.579992
6.850000,0.582113
6.900000,0.584222
6.950000,0.586328
7.000000,0.588443
7.050000,0.590574
7.100000,0.592741
7.150000,0.594941
7.200000,0.597173
7.250000,0.599446
7.300000,0.601759
7.350000,0.604133
7.400000,0.606551
7.450000,0.609013
7.500000,0.611520
7.550000,0.614077
7.600000,0.616683
7.650000,0.619324
7.700000,0.621994
7.750000,0.624689
7.800000,0.627403
7.850000,0.630126
7.900000,0.632850
7.950000,0.635565
8.000000,0.638266
8.050000,0.640945
8.100000,0.643588
8.150000,0.646192
8.200000,0.648746
8.250000,0.651244
8.300000,0.653680
8.350000,0.656043
8.400000,0.658330
8.450000,0.660538
8.500000,0.662653
8.550000,0.664686
8.600000,0.666619
8.650000,0.668462
8.700000,0.670207
8.750000,0.671852
8.800000,0.673406
8.850000,0.674861
8.900000,0.676225
8.950000,0.677506
9.000000,0.678700
9.050000,0.679822
9.100000,0.680869
9.150000,0.681858
9.200000,0.682794
9.250000,0.683687
9.300000,0.684548
9.350000,0.685388
9.400000,0.686220
9.450000,0.687055
9.500000,0.687907
9.550000,0.688788
9.600000,0.689711
9.650000,0.690689
9.700000,0.691732
9.750000,0.692861
9.800000,0.694076
9.850000,0.695395
9.900000,0.696830
9.950000,0.698380
10.000000,0.700069
10.050000,0.701891
10.100000,0.703873
10.150000,0.706000
10.200000,0.708281
10.250000,0.710732
10.300000,0.713346
10.350000,0.716138
10.400000,0.719103
10.450000,0.722241
10.500000,0.725576
10.550000,0.729091
10.600000,0.732805
10.650000,0.736711
10.700000,0.740812
10.750000,0.745133
10.800000,0.749656
10.850000,0.754411
10.900000,0.759393
10.950000,0.764616
11.000000,0.770111
