y_over_D,u_over_U
-3.000000,1.172706
-2.950000,1.173620
-2.900000,1.174582
-2.850000,1.175599
-2.800000,1.176662
-2.750000,1.177773
-2.700000,1.178938
-2.650000,1.180149
-2.600000,1.181422
-2.550000,1.182741
-2.500000,1.184116
-2.450000,1.185539
-2.400000,1.187021
-2.350000,1.188554
-2.300000,1.190144
-2.250000,1.191787
-2.200000,1.193482
-2.150000,1.195231
-2.100000,1.197037
-2.050000,1.198896
-2.000000,1.200813
-1.950000,1.202774
-1.900000,1.204788
-1.850000,1.206862
-1.800000,1.208980
-1.750000,1.211147
-1.700000,1.213355
-1.650000,1.215608
-1.600000,1.217896
-1.550000,1.220194
-1.500000,1.222465
-1.450000,1.224645
-1.400000,1.226578
-1.350000,1.227999
-1.300000,1.228493
-1.250000,1.227154
-1.200000,1.223138
-1.150000,1.214503
-1.100000,1.199597
-1.050000,1.176489
-1.000000,1.142325
-0.950000,1.097049
-0.900000,1.038923
-0.850000,0.969865
-0.800000,0.891812
-0.750000,0.807216
-0.700000,0.719503
-0.650000,0.630850
-0.600000,0.543196
-0.550000,0.457731
-0.500000,0.375832
-0.450000,0.298023
-0.400000,0.225828
-0.350000,0.159771
-0.300000,0.100587
-0.250000,0.049584
-0.200000,0.006395
-0.150000,-0.027488
-0.100000,-0.052328
-0.050000,-0.067827
0.000000,-0.072992
0.050000,-0.068884
0.100000,-0.054386
0.150000,-0.030439
0.200000,0.002712
0.250000,0.045421
0.300000,0.096232
0.350000,0.155609
0.400000,0.222255
0.450000,0.295427
0.500000,0.374568
0.550000,0.458012
0.600000,0.545083
0.650000,0.634213
0.700000,0.724039
0.750000,0.812422
0.800000,0.897166
0.850000,0.974766
0.900000,1.042891
0.950000,1.099757
1.000000,1.143618
1.050000,1.176415
1.100000,1.198347
1.150000,1.212342
1.200000,1.220325
1.250000,1.223951
1.300000,1.225078
1.350000,1.224510
1.400000,1.223095
1.450000,1.221220
1.500000,1.219120
1.550000,1.216951
1.600000,1.214765
1.650000,1.212596
1.700000,1.210465
1.750000,1.208375
1.800000,1.206331
1.850000,1.204331
1.900000,1.202384
1.950000,1.200482
2.000000,1.198632
2.050000,1.196829
2.100000,1.195077
2.150000,1.193376
2.200000,1.191727
2.250000,1.190128
2.300000,1.188581
2.350000,1.187083
2.400000,1.185633
2.450000,1.184237
2.500000,1.182888
2.550000,1.181591
2.600000,1.180340
2.650000,1.179143
2.700000,1.177990
2.750000,1.176887
2.800000,1.175830
2.850000,1.174823
2.900000,1.173857
2.950000,1.172944
3.000000,1.172079
