t,x_front,tau,X
0.0000,0.146000,0.0000,0.9993
0.0500,0.171391,0.5794,1.1731
0.1000,0.247565,1.1588,1.6945
0.1500,0.285652,1.7383,1.9552
0.2000,0.285652,2.3177,1.9552
0.2500,0.285652,2.8971,1.9552
0.3000,0.285652,3.4765,1.9552
0.3500,0.285652,4.0559,1.9552
0.4000,0.285652,4.6354,1.9552
0.4500,0.323052,5.2148,2.2112
0.5000,0.576947,5.7942,3.9490
0.5500,0.576947,6.3736,3.9490
0.6000,0.576947,6.9531,3.9490
0.6500,0.576947,7.5325,3.9490
0.7000,0.576947,8.1119,3.9490
0.7500,0.576947,8.6913,3.9490
0.8000,0.576947,9.2707,3.9490
0.8500,0.576947,9.8502,3.9490
0.9000,0.576947,10.4296,3.9490
0.9500,0.576947,11.0090,3.9490
1.0000,0.576947,11.5884,3.9490
