t,x_front,tau,X
0.0014,0.143965,0.0156,0.9854
0.0537,0.185098,0.6220,1.2669
0.1010,0.249082,1.1710,1.7049
0.1506,0.335918,1.7447,2.2992
0.2005,0.436465,2.3229,2.9874
0.2513,0.555293,2.9116,3.8008
0.3002,0.582715,3.4786,3.9885
0.3502,0.582715,4.0578,3.9885
0.4003,0.582715,4.6393,3.9885
0.4515,0.582715,5.2325,3.9885
0.5014,0.582715,5.8105,3.9885
0.5501,0.582715,6.3750,3.9885
0.6001,0.582715,6.9537,3.9885
0.6501,0.582715,7.5339,3.9885
0.7000,0.582715,8.1121,3.9885
0.7501,0.582715,8.6921,3.9885
0.8000,0.582715,9.2709,3.9885
