t,x_front,tau,X
0.0014,0.143965,0.0156,0.9854
0.0531,0.180527,0.6153,1.2356
0.1019,0.249082,1.1813,1.7049
0.1506,0.335918,1.7455,2.2992
0.2005,0.441035,2.3230,3.0187
0.2516,0.559863,2.9151,3.8321
0.3000,0.582715,3.4769,3.9885
0.3503,0.582715,4.0590,3.9885
0.4001,0.582715,4.6370,3.9885
0.4501,0.582715,5.2160,3.9885
0.5002,0.582715,5.7961,3.9885
0.5501,0.582715,6.3748,3.9885
0.6001,0.582715,6.9540,3.9885
0.6501,0.582715,7.5336,3.9885
0.7000,0.582715,8.1119,3.9885
0.7501,0.582715,8.6929,3.9885
0.8000,0.582715,9.2709,3.9885
0.8500,0.582715,9.8507,3.9885
0.9001,0.582715,10.4306,3.9885
0.9501,0.582715,11.0098,3.9885
1.0001,0.582715,11.5900,3.9885
1.0500,0.582715,12.1683,3.9885
1.1001,0.582715,12.7488,3.9885
1.1502,0.582715,13.3285,3.9885
1.2001,0.582715,13.9076,3.9885
1.2501,0.582715,14.4864,3.9885
1.3001,0.582715,15.0659,3.9885
1.3501,0.582715,15.6456,3.9885
1.4002,0.582715,16.2256,3.9885
1.4501,0.582715,16.8040,3.9885
1.5001,0.582715,17.3841,3.9885
1.5501,0.582715,17.9634,3.9885
1.6000,0.582715,18.5418,3.9885
1.6500,0.582715,19.1210,3.9885
1.7002,0.582715,19.7023,3.9885
1.7501,0.582715,20.2812,3.9885
1.8000,0.582715,20.8594,3.9885
1.8500,0.582715,21.4388,3.9885
1.9002,0.582715,22.0200,3.9885
1.9500,0.582715,22.5974,3.9885
2.0000,0.582715,23.1774,3.9885
2.0500,0.582715,23.7565,3.9885
2.1000,0.582715,24.3359,3.9885
2.1501,0.564434,24.9158,3.8633
2.2002,0.514160,25.4965,3.5192
2.2502,0.431895,26.0760,2.9562
2.3000,0.372480,26.6538,2.5495
2.3500,0.367910,27.2331,2.5182
2.4000,0.322207,27.8122,2.2054
2.4501,0.276504,28.3933,1.8926
2.5001,0.207949,28.9717,1.4233
2.5501,0.102832,29.5511,0.7038
2.6001,0.029707,30.1306,0.2033
2.6501,0.011426,30.7108,0.0782
2.7002,0.015996,31.2905,0.1095
2.7500,0.020566,31.8684,0.1408
2.8000,0.029707,32.4478,0.2033
2.8501,0.034277,33.0278,0.2346
2.9001,0.029707,33.6074,0.2033
2.9502,0.057129,34.1883,0.3910
3.0000,0.116543,34.7655,0.7977
3.0500,0.000000,35.3453,0.0000
3.1002,0.000000,35.9265,0.0000
3.1503,0.000000,36.5070,0.0000
3.2003,0.000000,37.0864,0.0000
3.2501,0.000000,37.6631,0.0000
3.3004,0.000000,38.2461,0.0000
3.3503,0.000000,38.8248,0.0000
3.4001,0.000000,39.4022,0.0000
3.4500,0.000000,39.9806,0.0000
3.5003,0.000000,40.5635,0.0000
3.5503,0.000000,41.1428,0.0000
3.6001,0.000000,41.7200,0.0000
3.6502,0.000000,42.3006,0.0000
3.7001,0.000000,42.8779,0.0000
3.7503,0.000000,43.4603,0.0000
3.8001,0.000000,44.0373,0.0000
3.8501,0.000000,44.6167,0.0000
3.9001,0.000000,45.1964,0.0000
3.9500,0.000000,45.7748,0.0000
4.0001,0.000000,46.3554,0.0000
4.0500,0.000000,46.9333,0.0000
4.1001,0.000000,47.5137,0.0000
4.1501,0.000000,48.0932,0.0000
4.2001,0.000000,48.6731,0.0000
4.2504,0.000000,49.2553,0.0000
4.3000,0.000000,49.8304,0.0000
4.3502,0.000000,50.4121,0.0000
4.4001,0.000000,50.9905,0.0000
4.4501,0.000000,51.5693,0.0000
4.5001,0.000000,52.1492,0.0000
4.5503,0.000000,52.7304,0.0000
4.6001,0.000000,53.3082,0.0000
4.6501,0.000000,53.8879,0.0000
4.7001,0.000000,54.4666,0.0000
4.7501,0.000000,55.0463,0.0000
4.8000,0.000000,55.6246,0.0000
4.8501,0.000000,56.2045,0.0000
4.9001,0.000000,56.7847,0.0000
4.9503,0.000000,57.3661,0.0000
5.0001,0.000000,57.9430,0.0000
