t,x_front,tau,X
0.0014,0.143965,0.0156,0.9854
0.0522,0.180527,0.6048,1.2356
0.1010,0.244512,1.1702,1.6736
0.1517,0.331348,1.7579,2.2680
0.2004,0.427324,2.3225,2.9249
0.2508,0.537012,2.9060,3.6756
0.3002,0.582715,3.4789,3.9885
0.3502,0.582715,4.0581,3.9885
0.4000,0.582715,4.6355,3.9885
0.4503,0.582715,5.2182,3.9885
0.5003,0.582715,5.7977,3.9885
0.5503,0.582715,6.3770,3.9885
0.6000,0.582715,6.9535,3.9885
0.6502,0.582715,7.5344,3.9885
0.7000,0.582715,8.1122,3.9885
0.7501,0.582715,8.6928,3.9885
0.8000,0.582715,9.2707,3.9885
0.8502,0.582715,9.8520,3.9885
0.9000,0.582715,10.4297,3.9885
0.9502,0.582715,11.0115,3.9885
1.0004,0.582715,11.5928,3.9885
1.0501,0.582715,12.1684,3.9885
1.1001,0.582715,12.7485,3.9885
1.1500,0.582715,13.3270,3.9885
1.2001,0.582715,13.9070,3.9885
1.2501,0.582715,14.4865,3.9885
1.3004,0.582715,15.0697,3.9885
1.3500,0.582715,15.6445,3.9885
1.4001,0.582715,16.2253,3.9885
1.4501,0.582715,16.8048,3.9885
1.5000,0.582715,17.3830,3.9885
1.5500,0.582715,17.9623,3.9885
1.6001,0.582715,18.5428,3.9885
1.6504,0.582715,19.1250,3.9885
1.7002,0.582715,19.7032,3.9885
1.7504,0.582715,20.2843,3.9885
1.8005,0.582715,20.8650,3.9885
1.8502,0.582715,21.4412,3.9885
1.9001,0.582715,22.0194,3.9885
1.9506,0.582715,22.6045,3.9885
2.0001,0.582715,23.1783,3.9885
2.0505,0.582715,23.7615,3.9885
2.1004,0.582715,24.3405,3.9885
2.1503,0.582715,24.9188,3.9885
2.2000,0.582715,25.4950,3.9885
2.2500,0.582715,26.0743,3.9885
2.3001,0.582715,26.6545,3.9885
2.3502,0.582715,27.2352,3.9885
2.4003,0.582715,27.8154,3.9885
2.4502,0.582715,28.3940,3.9885
2.5002,0.582715,28.9729,3.9885
2.5501,0.582715,29.5514,3.9885
2.6001,0.582715,30.1315,3.9885
2.6502,0.582715,30.7120,3.9885
2.7002,0.582715,31.2907,3.9885
2.7502,0.582715,31.8711,3.9885
2.8005,0.582715,32.4531,3.9885
2.8505,0.582715,33.0325,3.9885
2.9006,0.582715,33.6135,3.9885
2.9501,0.582715,34.1866,3.9885
3.0002,0.582715,34.7672,3.9885
3.0504,0.582715,35.3496,3.9885
3.1003,0.582715,35.9272,3.9885
3.1501,0.582715,36.5049,3.9885
3.2002,0.582715,37.0857,3.9885
3.2502,0.582715,37.6652,3.9885
3.3006,0.582715,38.2491,3.9885
3.3506,0.582715,38.8287,3.9885
3.4002,0.582715,39.4026,3.9885
3.4502,0.582715,39.9819,3.9885
3.5006,0.582715,40.5660,3.9885
3.5503,0.582715,41.1424,3.9885
3.6004,0.582715,41.7229,3.9885
3.6505,0.582715,42.3031,3.9885
3.7004,0.582715,42.8818,3.9885
3.7505,0.582715,43.4627,3.9885
3.8006,0.582715,44.0428,3.9885
3.8506,0.582715,44.6219,3.9885
3.9001,0.582715,45.1963,3.9885
3.9500,0.582715,45.7747,3.9885
4.0005,0.582715,46.3592,3.9885
4.0504,0.582715,46.9380,3.9885
4.1006,0.582715,47.5191,3.9885
4.1500,0.582715,48.0920,3.9885
4.2002,0.582715,48.6741,3.9885
4.2502,0.582715,49.2530,3.9885
4.3001,0.582715,49.8312,3.9885
4.3501,0.582715,50.4108,3.9885
4.4004,0.582715,50.9934,3.9885
4.4501,0.541582,51.5691,3.7069
4.5000,0.527871,52.1484,3.6131
4.5501,0.523301,52.7283,3.5818
4.6005,0.523301,53.3130,3.5818
4.6501,0.532441,53.8873,3.6444
4.7002,0.537012,54.4677,3.6756
4.7507,0.546152,55.0533,3.7382
4.8004,0.555293,55.6294,3.8008
4.8504,0.573574,56.2082,3.9259
4.9002,0.582715,56.7856,3.9885
4.9501,0.582715,57.3641,3.9885
5.0006,0.582715,57.9487,3.9885
