t,x_front,tau,X
0.0027,0.141680,0.0313,0.9697
0.0286,0.150820,0.3314,1.0323
0.0559,0.178242,0.6475,1.2200
0.0801,0.214805,0.9278,1.4703
0.1010,0.251367,1.1709,1.7205
0.1283,0.287930,1.4865,1.9708
0.1525,0.333633,1.7677,2.2836
0.1752,0.370195,2.0302,2.5338
0.2009,0.425039,2.3284,2.9092
0.2264,0.470742,2.6235,3.2221
0.2512,0.525586,2.9106,3.5974
0.2755,0.580430,3.1928,3.9728
0.3000,0.580430,3.4767,3.9728
0.3253,0.580430,3.7694,3.9728
0.3502,0.580430,4.0578,3.9728
0.3758,0.580430,4.3551,3.9728
0.4004,0.580430,4.6402,3.9728
0.4262,0.580430,4.9394,3.9728
0.4522,0.580430,5.2409,3.9728
0.4779,0.580430,5.5382,3.9728
0.5053,0.580430,5.8554,3.9728
