t,x_front,tau,X
0.0027,0.141680,0.0313,0.9697
0.0286,0.150820,0.3314,1.0323
0.0532,0.169102,0.6168,1.1574
0.0783,0.196523,0.9069,1.3451
0.1041,0.233086,1.2064,1.5954
0.1270,0.260508,1.4715,1.7831
0.1526,0.297070,1.7686,2.0333
0.1761,0.333633,2.0413,2.2836
0.2028,0.370195,2.3504,2.5338
0.2287,0.415898,2.6505,2.8467
0.2500,0.452461,2.8974,3.0969
0.2786,0.498164,3.2280,3.4097
0.3009,0.534727,3.4866,3.6600
0.3253,0.571289,3.7694,3.9103
0.3502,0.580430,4.0583,3.9728
0.3751,0.580430,4.3466,3.9728
0.4004,0.580430,4.6400,3.9728
0.4255,0.580430,4.9312,3.9728
0.4517,0.580430,5.2343,3.9728
0.4764,0.580430,5.5204,3.9728
0.5016,0.580430,5.8133,3.9728
