t_LU,Fx_pressure,Fx_viscous,CT,CP,CF_meas,umax,wave,niter
0.00260,2.089780e+04,2.165330e+01,2.596962e-01,2.594274e-01,2.688064e-04,1.2875,-0.300,50
0.00808,1.191664e+03,2.140134e+01,1.505912e-02,1.479344e-02,2.656785e-04,1.2959,-0.300,50
0.01273,8.435263e+02,2.077400e+01,1.072951e-02,1.047162e-02,2.578906e-04,1.3088,-0.300,32
0.02202,4.472306e+02,1.953199e+01,5.794440e-03,5.551968e-03,2.424722e-04,1.2853,-1.300,3
0.04484,3.391104e+02,1.743706e+01,4.426217e-03,4.209751e-03,2.164655e-04,1.2783,-1.300,2
0.06801,4.045992e+02,1.614985e+01,5.223222e-03,5.022736e-03,2.004860e-04,1.2599,1.700,2
0.09141,4.744042e+02,1.514620e+01,6.077329e-03,5.889303e-03,1.880265e-04,1.2416,1.700,2
0.11516,5.292413e+02,1.431575e+01,6.747773e-03,6.570056e-03,1.777172e-04,1.2261,1.700,2
0.13945,5.816574e+02,1.355161e+01,7.388987e-03,7.220756e-03,1.682311e-04,1.2206,2.700,2
0.16402,6.370117e+02,1.285742e+01,8.067543e-03,7.907929e-03,1.596133e-04,1.2651,2.700,2
0.18881,6.925874e+02,1.224942e+01,8.749917e-03,8.597851e-03,1.520656e-04,1.2844,2.700,2
0.21406,7.452974e+02,1.171655e+01,9.397649e-03,9.252199e-03,1.454505e-04,1.2855,3.700,2
0.23947,7.898772e+02,1.125878e+01,9.945386e-03,9.805618e-03,1.397677e-04,1.2909,3.700,3
0.26498,8.318566e+02,1.088859e+01,1.046193e-02,1.032675e-02,1.351721e-04,1.3038,4.700,2
0.29019,8.707451e+02,1.062541e+01,1.094143e-02,1.080952e-02,1.319049e-04,1.3131,5.700,2
0.31534,9.098548e+02,1.043066e+01,1.142452e-02,1.129503e-02,1.294873e-04,1.3233,5.700,2
0.34029,9.502283e+02,1.022675e+01,1.192319e-02,1.179623e-02,1.269559e-04,1.3330,5.700,2
0.36503,9.875882e+02,9.998975e+00,1.238415e-02,1.226002e-02,1.241283e-04,1.3427,5.700,2
0.38932,1.022555e+03,9.776194e+00,1.281546e-02,1.269410e-02,1.213627e-04,1.3466,5.700,2
0.41323,1.058860e+03,9.593773e+00,1.326389e-02,1.314479e-02,1.190981e-04,1.3519,5.700,2
0.43675,1.096480e+03,9.455886e+00,1.372920e-02,1.361181e-02,1.173863e-04,1.3614,4.700,3
0.45997,1.139065e+03,9.342131e+00,1.425645e-02,1.414047e-02,1.159742e-04,1.3632,4.700,3
0.48264,1.175702e+03,9.229534e+00,1.470986e-02,1.459529e-02,1.145764e-04,1.3505,4.700,3
0.50478,1.187095e+03,9.114882e+00,1.484987e-02,1.473672e-02,1.131531e-04,1.3374,3.700,3
0.52615,1.171985e+03,9.002460e+00,1.466090e-02,1.454914e-02,1.117575e-04,1.3491,3.700,3
0.54671,1.129778e+03,8.894338e+00,1.413559e-02,1.402518e-02,1.104152e-04,1.3794,3.700,3
0.56710,1.058361e+03,8.788842e+00,1.324772e-02,1.313861e-02,1.091056e-04,1.4216,3.700,3
0.58744,9.646147e+02,8.691029e+00,1.208272e-02,1.197483e-02,1.078913e-04,1.4146,3.700,3
0.60789,8.634755e+02,8.598840e+00,1.082602e-02,1.071927e-02,1.067469e-04,1.4378,3.700,3
0.62867,7.712717e+02,8.517926e+00,9.680389e-03,9.574647e-03,1.057424e-04,1.4546,3.700,2
0.64969,6.966916e+02,8.451087e+00,8.753715e-03,8.648802e-03,1.049127e-04,1.4516,3.700,2
0.67089,6.402791e+02,8.407779e+00,8.052866e-03,7.948491e-03,1.043750e-04,1.4724,2.700,2
0.69234,5.758990e+02,8.359612e+00,7.253047e-03,7.149269e-03,1.037771e-04,1.5050,2.700,3
0.71428,5.021888e+02,8.311152e+00,6.337400e-03,6.234224e-03,1.031755e-04,1.4928,2.700,2
0.73672,4.214470e+02,8.285010e+00,5.334737e-03,5.231887e-03,1.028510e-04,1.4639,2.700,2
0.75977,3.437560e+02,8.245911e+00,4.369789e-03,4.267423e-03,1.023656e-04,1.4457,2.700,2
0.78349,2.910927e+02,8.213229e+00,3.715615e-03,3.613655e-03,1.019599e-04,1.4286,1.700,2
0.80794,2.683104e+02,8.202656e+00,3.432662e-03,3.330833e-03,1.018286e-04,1.4064,1.700,2
0.83276,2.480782e+02,8.175724e+00,3.181163e-03,3.079668e-03,1.014943e-04,1.3799,1.700,2
0.85760,2.181368e+02,8.118850e+00,2.808761e-03,2.707973e-03,1.007883e-04,1.3638,-1.300,2
0.88192,1.895112e+02,8.054943e+00,2.452607e-03,2.352612e-03,9.999489e-05,1.3640,-1.300,2
0.90627,1.732054e+02,7.994612e+00,2.249435e-03,2.150189e-03,9.924594e-05,1.3521,-1.300,2
0.93144,1.601917e+02,7.916409e+00,2.086911e-03,1.988636e-03,9.827513e-05,1.3315,-1.300,2
0.95796,1.333310e+02,7.859318e+00,1.752751e-03,1.655185e-03,9.756639e-05,1.3026,-1.300,2
0.98579,1.010571e+02,7.852388e+00,1.352014e-03,1.254534e-03,9.748036e-05,1.2695,-1.300,3
1.01427,8.080403e+01,7.872108e+00,1.100835e-03,1.003110e-03,9.772516e-05,1.2357,-1.300,2
1.04303,5.974425e+01,7.905004e+00,8.398048e-04,7.416713e-04,9.813354e-05,1.2005,-1.300,2
1.07234,4.955097e+01,7.936966e+00,7.136612e-04,6.151309e-04,9.853032e-05,1.1725,-1.300,3
1.10221,5.184839e+01,7.956399e+00,7.424228e-04,6.436513e-04,9.877156e-05,1.1768,-1.300,3
1.13233,6.869785e+01,7.958017e+00,9.516139e-04,8.528222e-04,9.879165e-05,1.1825,-1.300,3
1.16245,9.923214e+01,7.946151e+00,1.330522e-03,1.231878e-03,9.864434e-05,1.1866,-1.300,3
1.19244,1.362087e+02,7.922627e+00,1.789261e-03,1.690908e-03,9.835232e-05,1.1896,-1.300,3
1.22249,1.763156e+02,7.897792e+00,2.286844e-03,2.188800e-03,9.804400e-05,1.1916,-1.300,3
1.25251,2.143969e+02,7.882860e+00,2.759404e-03,2.661546e-03,9.785864e-05,1.1922,-1.300,3
1.28217,2.463961e+02,7.878970e+00,3.156597e-03,3.058787e-03,9.781035e-05,1.1918,-2.300,3
1.31146,2.729673e+02,7.881572e+00,3.486487e-03,3.388644e-03,9.784265e-05,1.1908,-2.300,3
1.34023,2.944143e+02,7.889609e+00,3.752832e-03,3.654889e-03,9.794243e-05,1.1880,-1.300,3
1.36878,3.122043e+02,7.897489e+00,3.973777e-03,3.875736e-03,9.804025e-05,1.1835,-1.300,3
1.39652,3.253988e+02,7.899411e+00,4.137599e-03,4.039535e-03,9.806411e-05,1.1829,-1.300,3
1.42423,3.350614e+02,7.896756e+00,4.257519e-03,4.159488e-03,9.803115e-05,1.1850,-1.300,3
1.45150,3.422983e+02,7.885325e+00,4.347215e-03,4.249326e-03,9.788925e-05,1.2046,-1.300,3
1.47835,3.438950e+02,7.865458e+00,4.366791e-03,4.269148e-03,9.764261e-05,1.2109,-1.300,3
1.50516,3.419298e+02,7.845836e+00,4.342151e-03,4.244752e-03,9.739903e-05,1.2322,-1.300,3
1.53188,3.365052e+02,7.825157e+00,4.274552e-03,4.177410e-03,9.714232e-05,1.2490,-1.300,3
1.55819,3.270902e+02,7.797693e+00,4.157333e-03,4.060532e-03,9.680137e-05,1.2446,-1.300,3
1.58392,3.180865e+02,7.767186e+00,4.045182e-03,3.948759e-03,9.642265e-05,1.2383,-1.300,3
1.60951,3.116132e+02,7.739680e+00,3.964480e-03,3.868399e-03,9.608120e-05,1.2472,-1.300,3
1.63484,3.079944e+02,7.710891e+00,3.919198e-03,3.823474e-03,9.572381e-05,1.2681,-1.300,3
1.65988,3.055866e+02,7.678686e+00,3.888908e-03,3.793584e-03,9.532401e-05,1.2826,-1.300,3
1.68461,3.038006e+02,7.645104e+00,3.866319e-03,3.771412e-03,9.490711e-05,1.2851,-1.300,3
1.70905,3.037746e+02,7.612967e+00,3.865597e-03,3.771089e-03,9.450816e-05,1.3004,-1.300,3
1.73323,3.075522e+02,7.582738e+00,3.912118e-03,3.817985e-03,9.413290e-05,1.3140,-1.300,3
1.75720,3.153049e+02,7.553286e+00,4.007995e-03,3.914228e-03,9.376727e-05,1.3270,-1.300,3
1.78099,3.269460e+02,7.524488e+00,4.152151e-03,4.058741e-03,9.340977e-05,1.3394,-1.300,3
