t_LU,Fx_pressure,Fx_viscous,CT,CP,CF_meas,umax,wave,niter
0.00260,1.973930e+05,2.719037e+00,2.450490e+00,2.450457e+00,3.375441e-05,1.2219,34.700,50
0.00912,5.195683e+03,2.696158e+00,6.453322e-02,6.449975e-02,3.347039e-05,1.1973,34.700,50
0.01477,4.308981e+03,2.628079e+00,5.352477e-02,5.349214e-02,3.262525e-05,1.2044,34.700,21
0.02588,3.398141e+03,2.442902e+00,4.221520e-02,4.218487e-02,3.032644e-05,1.1937,34.700,2
0.05391,2.638256e+03,2.136543e+00,3.277811e-02,3.275159e-02,2.652326e-05,1.1920,34.700,2
0.08247,2.398894e+03,1.993660e+00,2.980486e-02,2.978012e-02,2.474950e-05,1.1838,34.700,2
0.11121,2.253812e+03,1.903278e+00,2.800268e-02,2.797905e-02,2.362749e-05,1.1711,34.700,2
0.14010,2.147716e+03,1.838236e+00,2.668479e-02,2.666197e-02,2.282006e-05,1.1579,34.700,2
0.16907,2.064760e+03,1.787736e+00,2.565433e-02,2.563214e-02,2.219314e-05,1.1485,34.700,2
0.19811,1.989731e+03,1.746592e+00,2.472241e-02,2.470072e-02,2.168237e-05,1.1418,34.700,2
0.22720,1.923552e+03,1.711398e+00,2.390042e-02,2.387918e-02,2.124547e-05,1.1367,34.700,2
0.25633,1.858629e+03,1.680993e+00,2.309408e-02,2.307321e-02,2.086803e-05,1.1335,34.700,2
0.28549,1.798864e+03,1.653889e+00,2.235182e-02,2.233128e-02,2.053154e-05,1.1305,34.700,2
0.31468,1.739446e+03,1.629843e+00,2.161390e-02,2.159366e-02,2.023305e-05,1.1279,34.700,2
0.34389,1.682996e+03,1.607985e+00,2.091285e-02,2.089289e-02,1.996169e-05,1.1255,34.700,2
0.37312,1.622764e+03,1.588096e+00,2.016487e-02,2.014516e-02,1.971479e-05,1.1233,34.700,2
0.40236,1.566154e+03,1.569734e+00,1.946189e-02,1.944240e-02,1.948684e-05,1.1213,34.700,2
0.43161,1.508090e+03,1.552859e+00,1.874086e-02,1.872158e-02,1.927736e-05,1.1195,34.700,2
0.46088,1.453236e+03,1.537178e+00,1.805970e-02,1.804062e-02,1.908269e-05,1.1179,34.700,2
0.49015,1.395850e+03,1.522646e+00,1.734712e-02,1.732822e-02,1.890228e-05,1.1163,34.700,2
0.51943,1.341202e+03,1.508784e+00,1.666855e-02,1.664982e-02,1.873020e-05,1.1149,34.700,2
0.54872,1.284432e+03,1.496001e+00,1.596365e-02,1.594508e-02,1.857151e-05,1.1136,34.700,2
0.57801,1.229015e+03,1.483688e+00,1.527554e-02,1.525712e-02,1.841865e-05,1.1123,34.700,2
0.60730,1.172917e+03,1.472001e+00,1.457899e-02,1.456071e-02,1.827358e-05,1.1111,34.700,2
0.63660,1.118396e+03,1.460942e+00,1.390201e-02,1.388388e-02,1.813629e-05,1.1100,34.700,2
0.66591,1.063297e+03,1.450565e+00,1.321788e-02,1.319987e-02,1.800747e-05,1.1089,34.700,2
0.69522,1.007910e+03,1.440473e+00,1.253018e-02,1.251230e-02,1.788218e-05,1.1080,34.700,2
0.72453,9.545534e+02,1.430951e+00,1.186769e-02,1.184993e-02,1.776397e-05,1.1070,34.700,2
0.75384,8.983840e+02,1.421802e+00,1.117028e-02,1.115263e-02,1.765040e-05,1.1061,34.700,2
