t_LU,Fx_pressure,Fx_viscous,CT,CP,CF_meas,umax,wave,niter
0.00260,2.087986e+04,2.164635e+01,2.594734e-01,2.592047e-01,2.687200e-04,1.2873,-0.300,50
0.00808,1.229469e+03,2.142072e+01,1.552868e-02,1.526276e-02,2.659190e-04,1.2984,-0.300,50
0.01273,8.305488e+02,2.079337e+01,1.056865e-02,1.031052e-02,2.581310e-04,1.3134,-0.300,50
0.02197,4.560766e+02,1.955463e+01,5.904535e-03,5.661782e-03,2.427532e-04,1.2936,-1.300,45
0.04455,3.323581e+02,1.748538e+01,4.342993e-03,4.125927e-03,2.170653e-04,1.2937,-1.300,2
0.06728,3.857283e+02,1.622055e+01,4.989835e-03,4.788471e-03,2.013636e-04,1.2841,1.700,2
0.08996,4.428339e+02,1.524353e+01,5.686621e-03,5.497386e-03,1.892348e-04,1.2724,1.700,2
0.11268,4.869963e+02,1.444174e+01,6.224904e-03,6.045623e-03,1.792813e-04,1.2618,-2.300,2
0.13548,5.245915e+02,1.367948e+01,6.682151e-03,6.512333e-03,1.698185e-04,1.2894,2.700,2
0.15830,5.540559e+02,1.297273e+01,7.039152e-03,6.878107e-03,1.610448e-04,1.3590,2.700,2
0.18093,5.792078e+02,1.235938e+01,7.343776e-03,7.190346e-03,1.534307e-04,1.4109,2.700,2
0.20348,6.082914e+02,1.182560e+01,7.698197e-03,7.551393e-03,1.468042e-04,1.4280,3.700,3
0.22589,6.411034e+02,1.137682e+01,8.099957e-03,7.958724e-03,1.412331e-04,1.4308,3.700,3
0.24808,6.741528e+02,1.099998e+01,8.505558e-03,8.369003e-03,1.365549e-04,1.4368,3.700,3
0.26996,7.107652e+02,1.070268e+01,8.956377e-03,8.823512e-03,1.328641e-04,1.4531,3.700,3
0.29187,7.527674e+02,1.050046e+01,9.475286e-03,9.344932e-03,1.303538e-04,1.4620,4.700,3
0.31352,7.975410e+02,1.037439e+01,1.002955e-02,9.900757e-03,1.287888e-04,1.4490,4.700,3
0.33517,8.440550e+02,1.024314e+01,1.060535e-02,1.047819e-02,1.271595e-04,1.4457,4.700,3
0.35731,8.937407e+02,1.005914e+01,1.121986e-02,1.109499e-02,1.248752e-04,1.4551,5.700,2
0.37986,9.442683e+02,9.839977e+00,1.184440e-02,1.172225e-02,1.221545e-04,1.4687,5.700,2
0.40242,9.925858e+02,9.610880e+00,1.244137e-02,1.232206e-02,1.193105e-04,1.4824,5.700,2
0.42494,1.038350e+03,9.391529e+00,1.300677e-02,1.289018e-02,1.165874e-04,1.4882,5.700,2
0.44755,1.084020e+03,9.200978e+00,1.357136e-02,1.345714e-02,1.142219e-04,1.4894,5.700,2
0.46960,1.130668e+03,9.045164e+00,1.414851e-02,1.403622e-02,1.122876e-04,1.4592,5.700,2
0.49120,1.178345e+03,8.919872e+00,1.473883e-02,1.462810e-02,1.107322e-04,1.4626,4.700,3
0.51221,1.226723e+03,8.824209e+00,1.533821e-02,1.522866e-02,1.095446e-04,1.4807,4.700,3
0.53285,1.272998e+03,8.759861e+00,1.591187e-02,1.580313e-02,1.087458e-04,1.5062,4.700,3
0.55296,1.309210e+03,8.707161e+00,1.636077e-02,1.625267e-02,1.080916e-04,1.5367,3.700,3
0.57254,1.323099e+03,8.662817e+00,1.653262e-02,1.642508e-02,1.075411e-04,1.5528,3.700,3
0.59123,1.267500e+03,8.626922e+00,1.584197e-02,1.573487e-02,1.070955e-04,1.5546,3.700,3
0.61018,1.158837e+03,8.605469e+00,1.449275e-02,1.438592e-02,1.068292e-04,1.5500,3.700,3
0.62969,1.034003e+03,8.586597e+00,1.294282e-02,1.283622e-02,1.065949e-04,1.5655,3.700,3
0.64923,9.082294e+02,8.563493e+00,1.138116e-02,1.127485e-02,1.063081e-04,1.5732,3.700,3
0.66860,8.007433e+02,8.555347e+00,1.004672e-02,9.940511e-03,1.062070e-04,1.5864,2.700,3
0.68769,7.180981e+02,8.555555e+00,9.020754e-03,8.914544e-03,1.062096e-04,1.5861,2.700,3
0.70736,6.399084e+02,8.552638e+00,8.050062e-03,7.943889e-03,1.061733e-04,1.6025,2.700,3
0.72721,5.657308e+02,8.552294e+00,7.129210e-03,7.023041e-03,1.061691e-04,1.6309,2.700,3
0.74724,5.044881e+02,8.578125e+00,6.369257e-03,6.262767e-03,1.064897e-04,1.6319,2.700,3
0.76743,4.456914e+02,8.595652e+00,5.639567e-03,5.532859e-03,1.067073e-04,1.6261,1.700,3
0.78773,3.953773e+02,8.612426e+00,5.015170e-03,4.908254e-03,1.069156e-04,1.6285,1.700,3
