t_LU,Fx_pressure,Fx_viscous,CT,CP,CF_meas,umax,wave,niter
0.00260,2.087986e+04,2.164625e+01,2.594734e-01,2.592047e-01,2.687188e-04,1.2873,-0.300,50
0.00808,1.235751e+03,2.142789e+01,1.560674e-02,1.534074e-02,2.660080e-04,1.3007,-0.300,50
0.01273,8.341900e+02,2.080350e+01,1.061398e-02,1.035572e-02,2.582568e-04,1.3168,-0.300,50
0.02194,4.586548e+02,1.956810e+01,5.936709e-03,5.693789e-03,2.429204e-04,1.2985,-1.300,40
0.04440,3.341964e+02,1.750235e+01,4.366024e-03,4.148748e-03,2.172760e-04,1.3001,-1.300,2
0.06695,3.887535e+02,1.624025e+01,5.027635e-03,4.826026e-03,2.016081e-04,1.2930,1.700,2
0.08936,4.483357e+02,1.526703e+01,5.755213e-03,5.565686e-03,1.895265e-04,1.2840,1.700,2
0.11172,4.957820e+02,1.446964e+01,6.334317e-03,6.154689e-03,1.796276e-04,1.2755,-2.300,2
0.13404,5.316987e+02,1.371194e+01,6.770785e-03,6.600563e-03,1.702215e-04,1.3108,2.700,2
0.15640,5.523992e+02,1.300477e+01,7.018983e-03,6.857541e-03,1.614426e-04,1.3873,2.700,2
0.17864,5.738835e+02,1.238932e+01,7.278051e-03,7.124249e-03,1.538024e-04,1.4396,2.700,3
0.20087,6.019845e+02,1.185752e+01,7.620298e-03,7.473098e-03,1.472005e-04,1.4538,3.700,3
0.22294,6.340129e+02,1.141300e+01,8.012384e-03,7.870702e-03,1.416821e-04,1.4556,3.700,3
0.24477,6.667507e+02,1.104165e+01,8.414184e-03,8.277112e-03,1.370722e-04,1.4564,3.700,3
0.26627,7.019725e+02,1.074832e+01,8.847790e-03,8.714360e-03,1.334308e-04,1.4700,3.700,3
0.28779,7.426746e+02,1.054682e+01,9.350569e-03,9.219640e-03,1.309293e-04,1.4791,4.700,3
0.30907,7.865253e+02,1.041945e+01,9.893355e-03,9.764007e-03,1.293481e-04,1.4689,4.700,3
0.33036,8.326378e+02,1.029191e+01,1.046422e-02,1.033645e-02,1.277648e-04,1.4647,4.700,3
0.35213,8.816276e+02,1.011131e+01,1.107014e-02,1.094462e-02,1.255229e-04,1.4733,5.700,2
0.37421,9.314984e+02,9.892569e+00,1.168652e-02,1.156372e-02,1.228074e-04,1.4880,5.700,2
0.39622,9.795776e+02,9.661766e+00,1.228052e-02,1.216058e-02,1.199422e-04,1.5042,5.700,2
0.41819,1.024110e+03,9.437706e+00,1.283056e-02,1.271340e-02,1.171607e-04,1.5170,5.700,2
0.44028,1.068582e+03,9.236301e+00,1.338014e-02,1.326548e-02,1.146604e-04,1.5154,5.700,2
0.46217,1.114458e+03,9.070788e+00,1.394761e-02,1.383500e-02,1.126057e-04,1.4930,5.700,2
0.48347,1.159768e+03,8.936055e+00,1.450841e-02,1.439748e-02,1.109331e-04,1.5109,4.700,2
0.50436,1.207529e+03,8.831287e+00,1.510003e-02,1.499039e-02,1.096325e-04,1.5364,4.700,3
0.52466,1.252071e+03,8.753719e+00,1.565201e-02,1.554334e-02,1.086696e-04,1.5591,4.700,3
0.54471,1.292489e+03,8.708676e+00,1.615320e-02,1.604509e-02,1.081104e-04,1.5973,3.700,3
0.56414,1.322919e+03,8.673069e+00,1.653052e-02,1.642285e-02,1.076684e-04,1.6087,3.700,3
