theta_analytic,Cp_analytic,theta_panel,Cp_panel
0.000000,0.750000,0.008727,0.732223
0.017453,0.713877,0.026180,0.694884
0.034907,0.675329,0.043633,0.655128
0.052360,0.634372,0.061087,0.612972
0.069813,0.591023,0.078540,0.568433
0.087266,0.545304,0.095993,0.521537
0.104720,0.497238,0.113446,0.472306
0.122173,0.446853,0.130900,0.420770
0.139626,0.394177,0.148353,0.366960
0.157080,0.339244,0.165806,0.310910
0.174533,0.282089,0.183260,0.252657
0.191986,0.222750,0.200713,0.192240
0.209440,0.161268,0.218166,0.129701
0.226893,0.097686,0.235619,0.065086
0.244346,0.032051,0.253073,-0.001559
0.261799,-0.035587,0.270526,-0.070182
0.279253,-0.105179,0.287979,-0.140730
0.296706,-0.176668,0.305433,-0.213149
0.314159,-0.250000,0.322886,-0.287381
0.331613,-0.325115,0.340339,-0.363366
0.349066,-0.401951,0.357792,-0.441041
0.366519,-0.480446,0.375246,-0.520342
0.383972,-0.560534,0.392699,-0.601201
0.401426,-0.642146,0.410152,-0.683551
0.418879,-0.725212,0.427606,-0.767319
0.436332,-0.809661,0.445059,-0.852433
0.453786,-0.895419,0.462512,-0.938819
0.471239,-0.982410,0.479966,-1.026399
0.488692,-1.070557,0.497419,-1.115095
0.506145,-1.159781,0.514872,-1.204828
0.523599,-1.250000,0.532325,-1.295515
0.541052,-1.341133,0.549779,-1.387075
0.558505,-1.433096,0.567232,-1.479423
0.575959,-1.525805,0.584685,-1.572473
0.593412,-1.619173,0.602139,-1.666139
0.610865,-1.713113,0.619592,-1.760333
0.628319,-1.807537,0.637045,-1.854967
0.645772,-1.902355,0.654498,-1.949950
0.663225,-1.997479,0.671952,-2.045194
0.680678,-2.092817,0.689405,-2.140606
0.698132,-2.188279,0.706858,-2.236096
0.715585,-2.283772,0.724312,-2.331571
0.733038,-2.379204,0.741765,-2.426939
0.750492,-2.474484,0.759218,-2.522109
0.767945,-2.569518,0.776672,-2.616986
0.785398,-2.664214,0.794125,-2.711479
0.802851,-2.758479,0.811578,-2.805495
0.820305,-2.852220,0.829031,-2.898941
0.837758,-2.945347,0.846485,-2.991726
0.855211,-3.037765,0.863938,-3.083758
0.872665,-3.129385,0.881391,-3.174945
0.890118,-3.220115,0.898845,-3.265197
0.907571,-3.309865,0.916298,-3.354424
0.925025,-3.398546,0.933751,-3.442537
0.942478,-3.486068,0.951204,-3.529448
0.959931,-3.572344,0.968658,-3.615070
0.977384,-3.657288,0.986111,-3.699316
0.994838,-3.740814,1.003564,-3.782103
1.012291,-3.822838,1.021018,-3.863345
1.029744,-3.903278,1.038471,-3.942962
1.047198,-3.982051,1.055924,-4.020873
1.064651,-4.059078,1.073377,-4.096998
1.082104,-4.134281,1.090831,-4.171261
