t,y_c,v_c,circ,area_rel,mass_rel
0.0011,0.50000,0.00061,0.94713,1.000000,1.000000
0.0510,0.50068,0.02569,0.95386,1.000002,1.000000
0.1006,0.50255,0.04874,0.96557,1.000003,1.000000
0.1512,0.50560,0.07100,0.97347,1.000004,1.000000
0.2003,0.50962,0.09165,0.97732,1.000005,1.000000
0.2505,0.51474,0.11174,0.98050,1.000006,1.000000
0.3004,0.52081,0.13077,0.98236,1.000007,1.000000
0.3502,0.52778,0.14865,0.98384,1.000008,1.000000
0.4009,0.53577,0.16565,0.98494,1.000008,1.000000
0.4502,0.54434,0.18084,0.98548,1.000009,1.000000
0.5005,0.55380,0.19480,0.98540,1.000010,0.999999
0.5506,0.56387,0.20700,0.98521,1.000010,1.000000
0.6004,0.57447,0.21733,0.98487,1.000011,1.000000
0.6500,0.58548,0.22571,0.98341,1.000011,1.000000
0.7007,0.59709,0.23225,0.98091,1.000012,1.000000
0.7511,0.60894,0.23680,0.97767,1.000013,1.000000
0.8003,0.62067,0.23946,0.97280,1.000013,1.000000
0.8505,0.63274,0.24055,0.96557,1.000014,1.000000
0.9007,0.64481,0.24024,0.95642,1.000014,0.999999
0.9508,0.65683,0.23882,0.94472,1.000014,1.000000
1.0009,0.66876,0.23656,0.93196,1.000015,1.000000
1.0511,0.68056,0.23370,0.91804,1.000015,0.999999
1.1001,0.69196,0.23054,0.90420,1.000016,1.000000
1.1504,0.70347,0.22712,0.88898,1.000016,1.000000
1.2007,0.71482,0.22364,0.87403,1.000017,1.000000
1.2511,0.72600,0.22026,0.85898,1.000017,1.000000
1.3002,0.73676,0.21711,0.84443,1.000018,1.000000
1.3505,0.74760,0.21414,0.83002,1.000018,0.999999
1.4007,0.75829,0.21144,0.81595,1.000019,1.000000
1.4508,0.76883,0.20903,0.80212,1.000019,0.999999
1.5009,0.77925,0.20695,0.78885,1.000019,0.999999
1.5509,0.78957,0.20518,0.77624,1.000020,1.000000
1.6009,0.79980,0.20371,0.76435,1.000020,1.000000
1.6509,0.80994,0.20253,0.75322,1.000021,0.999999
1.7007,0.82003,0.20165,0.74231,1.000021,0.999999
1.7506,0.83007,0.20103,0.73235,1.000021,0.999999
1.8004,0.84008,0.20066,0.72294,1.000022,0.999999
1.8501,0.85007,0.20056,0.71415,1.000022,0.999999
1.9009,0.86027,0.20072,0.70586,1.000022,1.000000
1.9506,0.87026,0.20113,0.69804,1.000023,0.999999
2.0002,0.88026,0.20175,0.69086,1.000023,1.000000
2.0509,0.89052,0.20262,0.68398,1.000023,1.000000
2.1004,0.90060,0.20368,0.67771,1.000024,1.000000
2.1511,0.91096,0.20495,0.67165,1.000024,0.999999
2.2006,0.92115,0.20636,0.66614,1.000024,0.999999
2.2500,0.93141,0.20788,0.66094,1.000025,1.000000
2.3006,0.94199,0.20953,0.65598,1.000025,1.000000
2.3501,0.95240,0.21120,0.65143,1.000025,1.000000
2.4006,0.96314,0.21292,0.64692,1.000026,0.999999
2.4501,0.97373,0.21457,0.64283,1.000026,0.999999
2.5006,0.98463,0.21618,0.63873,1.000026,1.000000
2.5501,0.99538,0.21762,0.63478,1.000026,0.999999
2.6007,1.00643,0.21890,0.63156,1.000027,0.999999
2.6502,1.01731,0.21993,0.62783,1.000027,0.999999
2.7008,1.02848,0.22074,0.62342,1.000027,1.000000
2.7503,1.03942,0.22124,0.61934,1.000027,0.999999
2.8008,1.05061,0.22139,0.61601,1.000027,0.999999
2.8501,1.06154,0.22121,0.61326,1.000028,1.000000
2.9005,1.07269,0.22068,0.61043,1.000028,1.000000
2.9508,1.08379,0.21981,0.60737,1.000028,0.999999
3.0001,1.09460,0.21864,0.60468,1.000028,1.000000
