t,y_c,v_c,circ,area_rel,mass_rel
0.0011,0.50000,0.00061,0.94717,1.000000,1.000000
0.0509,0.50068,0.02557,0.95753,1.000002,1.000000
0.1005,0.50254,0.04857,0.97085,1.000003,1.000000
0.1511,0.50558,0.07085,0.97899,1.000004,1.000000
0.2003,0.50959,0.09153,0.98248,1.000005,1.000000
0.2504,0.51470,0.11163,0.98501,1.000006,1.000000
0.3004,0.52078,0.13066,0.98650,1.000007,1.000000
0.3501,0.52774,0.14854,0.98739,1.000008,1.000000
0.4009,0.53573,0.16555,0.98790,1.000008,1.000000
0.4502,0.54428,0.18075,0.98824,1.000009,1.000000
0.5005,0.55374,0.19470,0.98809,1.000010,1.000000
0.5505,0.56381,0.20690,0.98777,1.000010,1.000000
0.6003,0.57440,0.21722,0.98731,1.000011,1.000000
0.6511,0.58567,0.22575,0.98595,1.000012,1.000000
0.7006,0.59701,0.23207,0.98326,1.000012,1.000000
0.7511,0.60885,0.23656,0.97981,1.000013,1.000000
0.8002,0.62056,0.23915,0.97456,1.000013,1.000000
0.8505,0.63262,0.24015,0.96744,1.000014,1.000000
0.9006,0.64467,0.23976,0.95813,1.000014,1.000000
0.9507,0.65666,0.23824,0.94661,1.000014,1.000000
1.0008,0.66855,0.23590,0.93364,1.000015,1.000000
1.0510,0.68032,0.23298,0.91967,1.000015,1.000000
1.1000,0.69168,0.22978,0.90546,1.000016,1.000000
1.1503,0.70315,0.22634,0.89012,1.000016,1.000000
1.2006,0.71446,0.22290,0.87472,1.000017,0.999999
1.2510,0.72561,0.21955,0.85941,1.000017,1.000000
1.3002,0.73633,0.21648,0.84471,1.000017,1.000000
1.3504,0.74715,0.21362,0.83039,1.000018,1.000000
1.4006,0.75781,0.21105,0.81614,1.000018,1.000000
1.4508,0.76834,0.20879,0.80218,1.000019,1.000000
1.5008,0.77876,0.20687,0.78860,1.000019,0.999999
1.5509,0.78907,0.20527,0.77602,1.000019,1.000000
1.6009,0.79931,0.20396,0.76408,1.000020,0.999999
1.6508,0.80947,0.20294,0.75272,1.000020,1.000000
1.7007,0.81959,0.20222,0.74187,1.000020,0.999999
1.7505,0.82966,0.20175,0.73185,1.000021,0.999999
1.8003,0.83970,0.20152,0.72241,1.000021,0.999999
1.8500,0.84974,0.20154,0.71374,1.000021,0.999999
1.9009,0.85999,0.20181,0.70545,1.000022,0.999999
1.9505,0.87004,0.20230,0.69759,1.000022,0.999999
2.0001,0.88010,0.20300,0.69050,1.000022,0.999999
2.0508,0.89043,0.20392,0.68376,1.000023,0.999999
2.1004,0.90057,0.20502,0.67748,1.000023,0.999999
2.1510,0.91100,0.20632,0.67160,1.000023,0.999999
2.2005,0.92126,0.20773,0.66620,1.000023,0.999999
2.2511,0.93182,0.20929,0.66091,1.000024,1.000000
2.3006,0.94223,0.21090,0.65619,1.000024,0.999999
2.3500,0.95271,0.21255,0.65173,1.000024,0.999999
2.4006,0.96352,0.21424,0.64727,1.000024,1.000000
2.4500,0.97417,0.21585,0.64327,1.000025,1.000000
2.5006,0.98514,0.21742,0.63929,1.000025,0.999999
2.5500,0.99594,0.21878,0.63539,1.000025,0.999999
2.6006,1.00705,0.22000,0.63217,1.000025,0.999999
2.6501,1.01798,0.22099,0.62915,1.000026,1.000000
2.7007,1.02920,0.22167,0.62487,1.000026,0.999999
2.7502,1.04018,0.22208,0.62065,1.000026,0.999999
2.8007,1.05141,0.22214,0.61707,1.000026,0.999999
2.8511,1.06262,0.22184,0.61402,1.000026,0.999999
2.9004,1.07355,0.22119,0.61093,1.000026,1.000000
2.9508,1.08468,0.22017,0.60763,1.000027,0.999999
3.0000,1.09550,0.21889,0.60517,1.000027,0.999999
