t,eta_l,eta_r,m_rel,width
0.0007,0.31992,0.26508,1.000000,0
0.0281,0.31935,0.26559,0.999999,117
0.0465,0.31852,0.26636,0.999999,147
0.0648,0.31734,0.26749,0.999999,193
0.0831,0.31583,0.26898,0.999999,234
0.1014,0.31397,0.27086,0.999998,250
0.1289,0.31058,0.27441,0.999998,268
0.1472,0.30795,0.27729,0.999998,285
0.1655,0.30506,0.28056,0.999996,281
0.1838,0.30193,0.28421,0.999997,299
0.2021,0.29861,0.28820,0.999996,300
0.2205,0.29516,0.29246,0.999997,291
0.2479,0.28987,0.29920,0.999996,300
0.2662,0.28637,0.30374,0.999996,298
0.2846,0.28300,0.30815,0.999997,307
0.3029,0.27982,0.31226,0.999996,332
0.3212,0.27691,0.31590,0.999997,321
0.3487,0.27317,0.32022,0.999999,334
0.3670,0.27116,0.32222,0.999998,344
0.3853,0.26957,0.32352,0.999999,369
0.4036,0.26839,0.32415,0.999999,346
0.4219,0.26762,0.32422,0.999999,360
0.4402,0.26720,0.32382,0.999999,365
0.4677,0.26713,0.32256,0.999999,388
0.4860,0.26736,0.32137,1.000000,388
0.5043,0.26776,0.31988,1.000000,375
0.5226,0.26835,0.31805,0.999998,393
0.5410,0.26922,0.31577,0.999999,395
0.5684,0.27137,0.31130,0.999998,387
0.5868,0.27355,0.30767,0.999998,392
0.6051,0.27637,0.30375,0.999996,402
0.6234,0.27975,0.29985,0.999997,372
0.6417,0.28352,0.29621,0.999997,371
0.6600,0.28742,0.29292,0.999996,369
0.6875,0.29309,0.28855,0.999996,339
0.7058,0.29664,0.28579,0.999997,357
0.7241,0.30011,0.28298,0.999996,356
0.7424,0.30366,0.28013,0.999997,367
0.7607,0.30744,0.27738,0.999998,340
0.7882,0.31351,0.27393,0.999998,351
0.8065,0.31755,0.27226,0.999998,360
0.8248,0.32125,0.27109,0.999999,376
0.8432,0.32435,0.27032,0.999999,388
0.8615,0.32663,0.26982,1.000000,376
0.8889,0.32835,0.26932,1.000000,383
0.9073,0.32844,0.26910,1.000000,386
0.9256,0.32786,0.26904,1.000000,383
0.9439,0.32672,0.26926,1.000000,395
0.9622,0.32505,0.26989,0.999999,399
0.9805,0.32281,0.27101,0.999999,401
1.0080,0.31824,0.27356,0.999998,403
1.0263,0.31446,0.27571,0.999998,398
1.0446,0.31029,0.27808,0.999998,394
1.0629,0.30590,0.28057,0.999998,384
1.0813,0.30145,0.28314,0.999998,376
1.1087,0.29476,0.28721,0.999998,358
1.1270,0.29044,0.29015,0.999997,359
1.1454,0.28643,0.29331,0.999998,369
1.1637,0.28276,0.29666,0.999999,368
1.1820,0.27944,0.30010,0.999998,366
1.2003,0.27649,0.30351,1.000000,344
1.2278,0.27280,0.30832,1.000000,353
1.2461,0.27079,0.31123,1.000000,375
1.2644,0.26914,0.31387,1.000001,373
1.2827,0.26783,0.31626,1.000000,373
1.3010,0.26688,0.31843,1.000001,394
1.3285,0.26615,0.32114,1.000001,391
1.3468,0.26611,0.32248,1.000001,397
1.3651,0.26645,0.32331,1.000001,398
1.3834,0.26716,0.32355,1.000001,399
1.4018,0.26826,0.32312,1.000002,416
1.4201,0.26976,0.32205,1.000000,414
1.4476,0.27265,0.31938,1.000000,417
1.4659,0.27490,0.31705,0.999999,416
1.4842,0.27735,0.31440,0.999999,413
1.5025,0.27992,0.31149,1.000000,418
1.5208,0.28262,0.30832,0.999998,405
1.5483,0.28693,0.30296,0.999998,385
1.5666,0.29001,0.29903,0.999997,373
1.5849,0.29329,0.29496,0.999999,367
1.6032,0.29674,0.29093,0.999999,372
1.6215,0.30032,0.28704,0.999998,354
1.6490,0.30570,0.28155,0.999999,369
1.6673,0.30909,0.27815,0.999999,373
1.6856,0.31218,0.27503,1.000000,379
1.7040,0.31486,0.27226,1.000000,370
1.7223,0.31711,0.26985,1.000000,390
1.7406,0.31895,0.26781,1.000000,385
1.7681,0.32096,0.26548,1.000000,400
1.7864,0.32179,0.26448,1.000000,407
1.8047,0.32208,0.26398,1.000000,399
1.8230,0.32173,0.26402,1.000000,404
1.8413,0.32067,0.26459,1.000000,405
1.8688,0.31799,0.26634,1.000000,419
1.8871,0.31577,0.26803,1.000000,420
1.9054,0.31346,0.27007,1.000000,431
1.9237,0.31105,0.27243,1.000000,413
1.9421,0.30841,0.27505,0.999998,428
1.9604,0.30547,0.27792,1.000000,409
1.9878,0.30068,0.28261,0.999998,400
2.0062,0.29760,0.28599,0.999998,398
2.0245,0.29489,0.28958,0.999997,402
2.0428,0.29252,0.29339,0.999998,342
2.0611,0.29018,0.29742,1.000000,362
2.0886,0.28614,0.30367,0.999998,359
2.1069,0.28293,0.30774,0.999999,365
2.1252,0.27941,0.31155,1.000000,361
2.1435,0.27590,0.31498,1.000000,367
2.1618,0.27295,0.31802,0.999999,384
2.1801,0.27079,0.32070,1.000001,381
2.2076,0.26882,0.32407,1.000001,389
2.2259,0.26813,0.32574,1.000000,397
2.2443,0.26780,0.32678,1.000002,405
2.2626,0.26772,0.32707,1.000002,408
2.2809,0.26778,0.32657,1.000002,404
2.3084,0.26807,0.32434,1.000001,408
2.3267,0.26845,0.32193,1.000001,414
2.3450,0.26911,0.31889,1.000000,418
2.3633,0.27021,0.31535,1.000001,406
2.3816,0.27191,0.31144,1.000000,413
2.4091,0.27562,0.30525,1.000000,384
2.4274,0.27868,0.30112,0.999999,409
2.4457,0.28196,0.29719,0.999999,392
2.4640,0.28523,0.29352,0.999999,381
2.4823,0.28841,0.29011,0.999999,379
2.5007,0.29152,0.28696,0.999997,343
2.5280,0.29632,0.28279,1.000000,348
2.5461,0.29988,0.28040,0.999999,375
2.5644,0.30384,0.27827,0.999999,354
2.5827,0.30802,0.27636,0.999999,374
2.6010,0.31210,0.27463,1.000001,354
2.6285,0.31755,0.27236,1.000001,371
2.6468,0.32062,0.27111,1.000000,380
2.6651,0.32321,0.27014,1.000000,389
2.6835,0.32533,0.26948,1.000000,389
2.7018,0.32691,0.26916,1.000001,398
2.7201,0.32782,0.26916,1.000001,406
2.7476,0.32762,0.26966,1.000003,404
2.7659,0.32638,0.27028,1.000001,402
2.7842,0.32436,0.27110,1.000001,399
2.8025,0.32171,0.27213,1.000000,412
2.8208,0.31864,0.27339,1.000000,411
2.8483,0.31346,0.27579,1.000000,405
2.8666,0.30965,0.27779,1.000000,403
2.8849,0.30554,0.28014,0.999998,378
2.9032,0.30122,0.28286,0.999998,390
2.9215,0.29684,0.28591,0.999998,366
2.9490,0.29049,0.29097,0.999999,348
2.9673,0.28648,0.29454,0.999998,381
2.9856,0.28269,0.29815,0.999999,363
3.0040,0.27916,0.30169,1.000000,362
3.0223,0.27597,0.30507,1.000000,363
3.0406,0.27318,0.30824,1.000000,369
3.0681,0.26985,0.31253,1.000000,378
3.0864,0.26822,0.31506,1.000000,368
3.1047,0.26704,0.31731,1.000002,389
3.1230,0.26624,0.31925,1.000002,389
3.1413,0.26579,0.32084,1.000002,401
3.1688,0.26578,0.32244,1.000001,405
3.1871,0.26622,0.32292,1.000001,405
3.2054,0.26703,0.32290,1.000002,405
3.2237,0.26819,0.32236,1.000002,407
3.2421,0.26968,0.32127,1.000001,419
3.2604,0.27147,0.31960,1.000000,404
3.2878,0.27470,0.31602,1.000000,416
3.3062,0.27724,0.31294,0.999999,402
3.3245,0.28010,0.30943,1.000000,395
3.3428,0.28325,0.30563,0.999999,408
3.3611,0.28665,0.30176,0.999998,381
3.3886,0.29207,0.29615,0.999998,364
3.4069,0.29576,0.29261,0.999998,354
3.4252,0.29943,0.28918,0.999999,370
3.4435,0.30301,0.28581,0.999999,341
3.4618,0.30643,0.28251,0.999999,359
3.4802,0.30962,0.27933,1.000001,359
