rR,axial_excess,swirl
0.0219,4.62546e-02,0.00000e+00
0.0656,NaN,NaN
0.1094,4.50331e-02,6.14511e-02
0.1531,4.55332e-02,7.70440e-02
0.1969,5.35179e-02,9.24526e-02
0.2406,6.63589e-02,1.08271e-01
0.2844,1.10452e-01,1.59997e-01
0.3281,1.27371e-01,1.80688e-01
0.3719,1.61047e-01,2.09643e-01
0.4156,2.01917e-01,2.37705e-01
0.4594,2.29158e-01,2.50768e-01
0.5031,2.72413e-01,2.64053e-01
0.5469,3.02964e-01,2.65472e-01
0.5906,3.32444e-01,2.61833e-01
0.6344,3.50991e-01,2.54175e-01
0.6781,3.59650e-01,2.46161e-01
0.7219,3.65348e-01,2.27148e-01
0.7656,3.58546e-01,1.97774e-01
0.8094,3.34589e-01,1.71875e-01
0.8531,2.85656e-01,1.40079e-01
0.8969,1.97844e-01,9.84940e-02
0.9406,1.46318e-01,7.56934e-02
0.9844,5.49769e-02,3.04503e-02
1.0281,-1.95934e-02,8.73362e-03
